Quem De Nós Dois;Ana Carolina
Thank You;Dido
Lady Marmalade;Christina Aguilera, Lil' Kim, Mya & Pink
Love By Grace Lara Fabian
Acima Do Sol;Skank
It Wasn't Me Shaggy Featuring;Ricardo "Rikrok" Ducent
Por The Amar Assim;Marlon & Maicon
I'm Like A Bird;Nelly Furtado
Vou Te Procurar;Os Travessos
Usted Se Me Llevó La Vida;Alexandre Pires
Daylight In Your Eyes;No Angels
All For You;Janet
Minha Timidez;KLB
Passou Da Conta;Zezé Di Camargo & Luciano
Faça O Que Eu Digo;Exaltasamba
Que Vez?;Tihuana
Butterfly;Crazy Town
Independent Women Part I;Destiny's Child
Dormi Na Praça (Acústico/Ao Vivo);Bruno & Marrone
Malandragem (Acústico);Cássia Eller
Ando Meio Desligado;Pato Fu
Fallin';Alicia Keys
Reggae Do Manero;Raimundos
I'm A Slave 4 U;Britney Spears
Love Don't Coast A Thing;Jennifer Lopez
O Amor Não Deixa Wanessa Camargo
Amor De Carnaval;Bruno & Marrone
O Amor Faz;Sandy & Junior
Apenas Mais Uma De Amor;Lulu Santos
Nosso Xote;Bicho De Pé
Xote Dos Milagres Falamansa
Crying At The Discotheque;Alcazar
Nothing's Gonna Change My Love For You;Richard Lugo & Snz
Eu Contra A Noite;Kid Abelha
Por Que Será?;Tihuana
Tua Cara;Vavá
Breathe;Faith Hill
O Amor E Eu;Rick & Renner (Chantecler)
Estou Em Suas Mãos;KLB
Cerol Na Mão/Entra E Sai;Bonde Do Tigrão
Don't Tell Me;Madonna
I'm Real;Jennifer Lopez Featuring Ja Rule
Fica Comigo;Tino
Whenever, Wherever;Shakira
Seus Beijos;Daniel
Eternamente;Belo
Quando O Sol Bater Na Janela Do Teu Quarto;Legião Urbana
Necessidade;Alexandre Pires
Milk And Toast And Honey;Roxette
Jaded;Aerosmith
What It Feels Like For A Girl;Madonna
Tá Na Cara;Marlon & Maicon
O Baile Todo;Bonde Do Tigrão
Dança Da Motinha;Mc Beth
Mais Um Na Multidão;Erasmo Carlos & Marisa Monte
Quando O Coração Se Apaixona;Daniel
Só Seu Amor Não Vai Embora;Daniel
Groovejet (If This Ain't Love);Spiller
Never Too Far;Mariah Carey
A Lenda;Sandy & Junior
Frio Da Solidão;Chitãozinho & Xororó Com Roupa Nova
You Rock My World;Michael Jackson
Todas As Coisas Do Mundo;Leonardo
Primavera (Vai Chuva);Maurício Manieri
Pra Você Eu Digo Sim;Rita Lee
Beijando;Gamação
Minha Galera;Baião De 4
Paisagem De Amor;Fernanda Abreu
Me Gusta Tu;Manu Chao
Stutter;Joe Featuring Mystikal
Múmias;Biquini Cavadão & Renato Russo
Um Dia Pra Nós Dois;Os Travessos
Hanging By A Moment;Lifehouse
Clint Eastwood;Gorillaz
Idem;Pixote
Advinha;Os Travessos
Follow Me Uncle;Kracker
A Sua;Marisa Monte
Tapinha;Mc Naldinho & Bella
Apaixonada Por Você;Wanessa Camargo
More Than That;Backstreet Boys
Se A Gente Se Entender;Angélica
Drowning;Backstreet Boys
Who Let The Dogs Out;Baha Men
Uma Noite;Tihuana
How You Remind Me;Nickelback
Pop;Nsync
O Mapa Da Mina;Rumbora
Fim De Semana (É Isso Que A Gente Quer);Nocaute
Crendice;Carlinhos Brown
He Loves U Not;Dream
More Than Words;Westlife
Dias Melhores;Jota Quest
Por Que Tem Que Ser Assim;KLB
Planeta Dominado;Sd Boyz
Olha Pra Mim;Cleiton & Camargo
Fica;Skank
Assim Que Se Faz;Luciana Mello
Eu;Pato Fu
Fim De Noite;Adryana & A Rapaziada
