Tô nem aí;Luka
Velha infância;Tribalistas  
Dilemma;Nelly feat. Kelly Rowland
Dois rios;Skank
Amor maior;Jota Quest  
Ligação urbana;Bruno & Marrone
Sedex up;Robbie Williams
I want you;Thalia feat. Fat Joe
Prá mudar a minha vida;Zezé Di Camargo & Luciano
Mais uma vez;Renato Russo
Por causa de você;KLB
Bring me to life;Evanescence feat. Paul McCoy
Coisas de casal;Alex Cohen
Adoleta;Kelly Key
Sk8ter boi;Avril Lavigne
Jenny from the block;Jennifer Lopez feat. Jadakiss & Styles
Monalisa;Jorge Vercilo
Preciso de um tempo;Zezé Di Camargo & Luciano  
Já sei namorar;Tribalistas    
Brilha la luna;Rouge
Lágrimas e chuva (versão acústica);Kid Abelha
Vem me amar;Alexandre Pires
Vai dar namoro;Bruno & Marrone
Prá onde você for;Pedro & Thiago
I`m with you;Avril Lavigne
Encanto;Sandy & Junior
Minha fantasia;Só Pra Contrariar
Cai fora;Babado Novo
Opções;Os Mulekes
Vivir sen aire;Maná
De volta prá mim;Vanessa Jackson
Prometida (Guararé);Br'oz
Unwell;Matchbox Twenty
Somewhere I belong;Linkin Park
Só dessa vez;KLB
Sorte grande;Ivete Sangalo
Alô;Os Travessos
Tua sombra em meu caminho;Leonardo
Crazy in love;Beyoncé featuring Jay-Z
Como é grande o meu amor por você;Sandy & Junior
Égua pocotó;MC Serginho
All the things she said;T.A.T.u.
Encontro das águas;Jorge Aragão & Jorge Vercilo
A luz que acende o olhar;Deborah Blando
A malvada;Leonardo
I'm glad;Jennifer Lopez
Do I have to cry for;Nick Carter
Quero te encontrar;Kid Abelha
Don`t stop dancing;Creed
AMERICAN LIFE  Madonna
Evidências;Daniel
A estrada (versão acústica);Cidade Negra
Dà-me, dà-me (dame dame);Daniel
Homem aranha;Jorge Vercilo
Só por uma noite;Charlie Brown Jr.
Like a stone;Audioslave
A festa;Maria Rita
A cada dez palavras;KLB   
Prá sempre;Roberto Carlos  
Não olhe assim;KLB
Eu sem você;Rick & Renner
PAGO PRA VER  Zeca Pagodinho
SUGAR  Marina Lima & Alvin L.
Quatro semanas de amaor;Pedro & Thiago
Amor e sexo;Rita Lee
Cruz em credo, ave Maria;Bruno & Marrone
Me against the music;Britney Spears feat. Madonna
Quando o sol se for;Detonautas
Prá ser feliz;Gustavo Lins
Gotta get thru this;Daniel Bedingfield
Nada é por acaso (ao vivo);Sandy & Junior  
Elevador (livro do esquecimento);Ana Carolina  
Beautiful;Christina Aguilera
Você vai se arrepender;Mailon & Maicon
Papo reto;Charlie Brown Jr.
Retrato de um playboy;parte II;Gabriel O Pensador
Fullgás (versão acústica);Marina Lima
Why don`t you and I;Santana feat. Chad Kroeger / Alex Band
Bum, bum, bum;Alexandre Pires
Brincadeira tem hora;Leonardo
Deixa disso;Felipe Dylon
Sem querer;Vanessa Camargo
Tem que valer;Kaleidoscópio
Já é;Lulu Santos
Você não me ensinou a te esquecer;Caetano Veloso
Um amor assim;Orlando Morais
Máscara;Pitty
On the horizon;Melanie C
Lágrimas demais;Ritchie
Vícios e virtudes;Charlie Brown Jr.
Sem radar;LS Jack
Deixa de banca;Raça Negra & Reginaldo Rossi
O mundo é de nós dois;Alcione
Explosão;Tchaka Bum
Complicated;Avril Lavigne
Meu plano;Daniela Mercury
Eu preciso te tirar do sério;Frejat
Um anjo veio me falar;Rouge
Sing for the moment;Eminem
Eu sei que te perdi;Leonardo
