Extravasa;Claúdia Leitte
Pela Última Vez;NX Zero
Low;Flo Rida & T-Pain
Bubbly;Colbie Caillat
Hate That I Love You;Rihanna & Ne-Yo
Me Abrace;Wanessa Camargo & Camila
Clumsy;Fergie
Forever;Chris Brown
Disturbia;Rihanna
Mina do Condomínio;Seu Jorge
I Kissed A Girl;Katy Perry
Piece Of Me;Britney Spears
Coisas Que Eu Sei;Danni Carlos
Cedo ou Tarde;NX Zero
No One;Alicia Keys
With You;Chris Brown
Tem Que Ser Você;Victor & Leo
Love In This Club;Usher & Young Jeezy
Give It 2 Me;Madonna
Pense em Mim;Darvin
Bleeding Love;Leona Lewis
Pontes Indestrutíveis;Charlie Brown Jr.
Semente;Armandinho
Tropa de Elite;Tihuana
Inconsolable;Backstreet Boys
Take A Bow;Rihanna
Gimme More;Britney Spears
Não Faz Mais Isso Comigo;Bruno & Marrone
Kiss Kiss;Chris Brown & T-Pain
Touch My Body;Mariah Carey
4 Minutes;Madonna & Justin Timberlake
Não é Proibido;Marisa Monte
Sorry, Blame It On Me;Akon
Imprevisível (ao vivo);Edson & Hudson & Bruno & Marrone
Wall To Wall;Chris Brown
Amado;Vanessa da Mata
Ficar por Ficar (acústico);Bruno & Marrone
Ciumenta;César Menotti & Fabiano
Me Love;Sean Kingston
Uma Criança com Seu Olhar;Charlie Brown Jr.
Apologize;Timbaland & One Republic
Same Mistake;James Blunt
Closer;Ne-Yo
Don't Stop The Music;Rihanna
Não Me Faça Esperar;Ivete Sangalo
When I'm Gone;Simple Plan
Pulsos;Pitty
Womanizer;Britney Spears
This Is Me;Demi Lovato & Joe Jonas
Ainda Gosto Dela;Skank & Negra Li
Fala (ao vivo);Edson & Hudson
When You're Gone;Avril Lavigne
Monstro Invisível;O Rappa
Sete a Uma;Offline
So What;Pink
Borboletas;Victor & Leo
Stronger;Kanye West
If I Were A Boy;Beyonce
Caso Por Acaso;César Menotti & Fabiano
When You Look Me In Eyes;Jonas Brothers
Chega;Zezé Di Camargo & Luciano
Não Há (ao vivo);Seu Cuca
Right Now (Na Na Na);Akon
Dança do Créu;MC Créu
Ayo Technology;50 Cent & Justin Timberlake & Timbaland
Bang Bang;Dibob
Coração Bandido;Leonardo
American Boy;Estelle & Kanye West
Burguesinha;Seu Jorge
Do It Well;Jennifer Lopez
Lollipop;Lil Wayne & Static Major
Violet Hill;Coldplay
Beleza Pura;Skank
Bye Bye (ao vivo);Inimigos da HP
Vida Boa;Victor & Léo
Dangerous;Kardinal Offishall & Akon
1 Minuto;D'Black & Negra Li
Desabafo;Marcelo D2
Divina Comédia;Scracho
I'll Be Waiting;Lenny Kravitz
Sufoco;João Bosco & Vinícius
Você Me Ensinou Amor;Nathália
Me Pega de Jeito;Wanessa Camargo
The Way I Live;Baby Boy Da Prince & Lil Boosie
Naticongo (ao vivo);Natiruts
Teardrops On My Guitar;Taylor Swift
Baby Love;Nicole Scherzinger & will.i.am
The Kill;30 Seconds To Mars
Difícil Não Falar de Amor;Daniel
Bala de Prata;Fernando & Sorocaba
Sem Ar;D'Black
Como Mágica;Naldo & Lula
Nossa Música;CPM 22
Live Your Life;T.I. & Rihanna
Burnin' Up;Jonas Brothers
Fatalmente;Rodriguinho
Midnight Bottle;Colbie Caillat
Algum Dia (ao vivo);Capital Inicial
Primeira Namorada (ao vivo);Sorriso Maroto
Blusinha Branca (acústico);Papas da Língua
