Esse cara sou eu;Roberto Carlos
Show das Poderosas;Anitta
Diamonds;Rihanna
Thrift Shop;Macklemore & Ryan Lewis ft Wanz
Sogrão Caprichou;Luan Santana
Cuidar Mais de Mim;Paula Fernandes
Locked Out Of Heaven;Bruno Mars
Ho Hey;The Lumineers
Scream & Shout;will.i.am ft Britney Spears
Não Para;Anitta
Te Esperando;Luan Santana
Diz Pra Mim;Gusttavo Lima
Just Give Me A Reason;P!nk ft Nate Ruess
Criação Divina;Zezé de Camargo & Luciano ft Paula Fernandes
Blurred Lines;Robin Thicke ft T.I. & Pharrell
Garotas Não Merecem Chorar;Luan Santana
Vagalumes;Pollo ft Ivo Mozart
É Nóis Fazê Parapapá;Michel Teló ft Sorriso Maroto
Suit & Tie;Justin Timberlake ft Jay-Z
When I Was Your Man;Bruno Mars
Vidro Fumê;Bruno & Marrone
Na Linha do Tempo;Victor & Leo
Piradinha;Gabriel Valim
Wake Me Up!;Avicii ft Alec Blacc
Treasure;Bruno Mars
Stay;Rihanna ft Mikky Ekko
Roar;Katy Perry
Amiga da Minha Irmã;Michel Teló
Die Young;Ke$ha
One More Night;Maroon 5
Mirrors;Justin Timberlake
Get Lucky;Daft Punk ft Pharrell Williams
Amor de Chocolate;Naldo
Wrecking Ball;Miley Cyrus
93 Million Miles;Jason Mraz
Meu Novo Mundo;Charlie Brown Jr
Come & Get It;Selena Gomez
Zen;Anitta
Tudo Que Você Quiser;Luan Santana
Live While We're Young;One Direction
Harlem Shake;Baauer
Um Ser Amor;Paula Fernandes
No Me Compares;Alejandro Sanz ft Ivete Sangalo
Deserto;Thaeme & Thiago
Caso Indefinido;Cristiano Araújo
I Cry;Flo Rida
Heart Attack;Demi Lovato
Crime Perfeito;João Neto & Frederico
A Bela e o Fera;Munhoz & Mariano
Logo Eu;Jorge & Mateus
Applause;Lady Gaga
Anjo Protetor;Eduardo Costa
No Brilho Desse Olhar;Ivete Sangalo
Não Fui Eu;Paula Fernandes
Quando Você Some;Victor & Leo ft Zezé Di Camargo & Luciano
Work Bitch;Britney Spears
Balada Louca;Munhoz & Mariano
Love Song (Uma Canção de Amor);Michel Teló
Dançando;Ivete Sangalo
Não Sou Eu;César Menotti & Fabiano
Radioactive;Imagine Dragons
Veneno;Fernando & Sorocaba
Girl On Fire;Alicia Keys ft Nicki Minaj
Royals;Lorde
Your Body;Christina Aguilera
Don't You Worry Child;Swedish House Mafia ft John Martin
Take Back The Night;Justin Timberlake
Mais Fácil (Easier);Sorriso Maroto ft Brian McKnight
As Long As You Love Me;Justin Bieber ft Big Sean
One Way Or Another (Teenage Kicks);One Direction
Right Now;Rihanna ft David Guetta
I Love It;Icona Pop ft Charli XCX
Dois Corações;César Menotti & Fabiano
Can't Hold Us;Macklemore & Ryan Lewis ft Ray Dalton
Best Song Ever;One Direction
The Monster;Eminem ft Rihanna
Maravida;Daniel
Walking On Air;Katy Perry
Don't Stop The Party;Pitbull ft TJR
Você Mudou;Cristiano Araújo
Desencana;Thiaguinho
Luz, Cama e Ação;Turma do Pagode
Sweet Nothing;Calvin Harris ft Florence Welch
Maus Bocados;Cristiano Araújo
Enquanto Houver Razões;Jorge & Mateus
Enamorado;Eduardo Costa
Céu Completo;Strike
Skyfall;Adele
Play Hard;David Guetta ft Akon & Ne-Yo
Um Lugarzinho na Sua Cama;João Bosco & Vinicius
Summertime Sadness;Lana Del Rey
Vai e Chora;Sorriso Maroto
Se Tudo Fosse Fácil;Michel Teló ft Paula Fernandes
Celebrar;Jammil e uma Noites
Clarity;Zedd ft Foxes
O Que "Cê" Vai Fazer;Fernando & Sorocaba
Gentleman;Psy
Se o Coração Viajar;Paula Fernandes
Fui Fiel;Gusttavo Lima
Cê Topa? (ao vivo);Luan Santana
