O Trovador de Toledo;Gilda Lopes
Prelúdio Para Ninar Gente Grande (Menino Passarinho);Luiz Vieira
Let's Twist Again;Chubby Checker
Fica Comigo Esta Noite;Nelson Gonçalves
Estão Voltando As Flores;Helena de Lima
Leva Eu Sodade;Nilo Amaro & Os Cantores de Ébano
Suave é a Noite;Moacyr Franco
Multiplication;Bobby Darin
Tu Sabes;Martha Mendonça
A Mesma Rosa Amarela;Conjunto Farroupilha
Amor;Rinaldo Calheiros
Meu Querido Lindo;Moacyr Franco
Quem é;Silvinho
Palavras de Amor;Alcides Gerardi
Peppermint Twist;Joey Dee & The Starlites
Poema;Renato Guimarães
Rancho das Flores;Coral do Corpo de Bombeiros
Midnight In Moscow;Kenny Ball & His Jazzmen
The Wanderer;Dion
Escândalo;Cauby Peixoto
Rock-A Hula Baby;Elvis Presley
Quem Eu Quero;Raul Sampaio
Stella By Starlight;Ray Charles
Seria Tão Diferente;Núbia Lafayette
Al-Di-Lá;Emilio Pericoli
Ele é Engraxate;José Leão
Garota Solitária;Angela Maria
Lembranças;Carlos José
Las Secretarias;Harold Nicholas
Amargura;Ellen de Lima
Ya Ya;Joey Dee & The Starliters
Brasil Bi-Campeão;Os Pequenos Cantores
Meu Nome é Ninguém;Miltinho
Moon River;Henry Mancini
The Twist;Chubby Checker
Domingo de Sol;Sergio Murilo
Stranger On The Shore;Mr. Acker Bilk
Esta Noite Ou Nunca;Carlos Augusto
Duas Taças;Mário Alves
Oba;Osvaldo Nunes
Breaking Up Is Hard To Do;Neil Sedaka
O Que é Que Eu Faço;Leila Silva
Amor em Serenata;Carlos Nobre
Las Secretarias;Rui Rey
Eu Sonhei Que Tu Estavas Tão Linda;Carlos Galhardo
Por Que Estás Enamorado;Edith Veiga
Canção da Tristeza;Vanja Orico
Speedy Gonzales;Pat Boone
Come September;Billy Vaughn
Eu Que Amo Somente a Ti;José Ricardo
Malena;Roberto Carlos
Eu Sei;Rosemary & Os Cometas
Palavras de Amor;Roberto Silva
Mona Lisa;Cyro Aguiar
Garota Solitária;Celly Campello
Porteiro, Suba e Diga;João Dias
E a Vida Continua;Agnaldo Rayol 
Dois Amores;Nelson Gonçalves
Gente Maldosa;Lucienne Franco
Meu Ex-Amor;Angela Maria
Dança dos Brotos;Rosemary
Amor em Cha-Cha-Cha;Fernando Costa
Cabelos Brancos;Silvio Caldas
O Pranto da Chuva;Carlos Nobre
Baby Elephant's Walk;Lawrence Welk
Parceria Com a Saudade;Carlos Nobre
Nega do Congo;Valter Levita
Tu és o Maior Amor da Minha Vida;Silvinho
A Lua é Camarada;Angela Maria
Beijo Roubado;Angela Maria
Can't Help Falling In Love;Elvis Presley
Juntinhos é Melhor;Emilinha Borba
Crying In The Rain;The Everly Brothers
Vou Ter Um Troço;Jackson do Pandeiro
Sherry;Four Seasons
Dream Baby;Roy Orbison
Contradizendo;Carlos Nobre
Eu Já Fiz Tudo;Anísio Silva
Norman;Sue Thompson
Filho Bom;Luiz de Andrade
Quando Setembro Vier;Billy Vaughn
Lição de Twist;Conjunto Alvorada & Meire Pavão
Influência do Jazz;Carlos Lyra
Pepe;Duane Eddy
Happy Birthday, Sweet Sixteen;Neil Sedaka
Castigo, Meu Amor;Emilinha Borba
Hey! Baby;Bruce Channel
Onde Estás Coração;Rinaldo Calheiros & Silvana
Não Conte Pra Ninguém;Ana Shirley
Sonhar Contigo;Adilson Ramos
I Know;Barbara George
Garota de Saint-Tropez;Jorge Veiga
Segredo;Rosana Toledo
Johnny Angel;Shelley Fabares
O Arlequim de Toledo;Angela Maria
Estou Louco;Baby Santiago
Contando os Dias;Marco Antonio
O Barquinho;Walter Wanderley
O Rei do Gatilho;Moreira da Silva
Love Letters;Ketty Lester
