Alone Again (Naturally);Gilbert O'Sullivan
Ilu Ayê;Clara Nunes
Fio Maravilha;Maria Alcina
The First Time Ever I Saw Your Face;Roberta Flack
Rock And Roll Lullaby;B.J. Thomas
Como Vai Você;Roberto Carlos
Summer Holiday;Terry Winter
Casa no Campo;Elis Regina
Without You;Nilsson
Ben;Michael Jackson
Mangueira, Minha Madrinha Querida (Tengo Tengo);Jair Rodrigues 
Soley Soley;Middle Of The Road
Imagine;John Lennon
Betcha By Golly, Wow;Stylistics 
Águas de Março;Elis Regina
Tell Me Once Again;Light Reflections
A Horse With No Name;America
Atrás da Porta;Elis Regina
Long Ago And Tomorrow;B.J. Thomas
Oração de Mãe Menininha;Maria Bethânia & Gal Costa
Das 200 Pra Lá;Eliana Pittman
Let's Stay Together;Al Green
Eu Quero é Botar Meu Bloco na Rua;Sergio Sampaio
Mammy Blue;Ricky Shayne
Esperanças Perdidas;Os Originais do Samba
Morning Has Broken;Cat Stevens
Rocket Man;Elton John
Concerto Pour Un Été;Alain Patrick
Canário do Reino;Tim Maia
Eu Não Sou Cachorro Não;Waldik Soriano
I Can See Cleary Now;Johnny Nash
Run To Me;Bee Gees
Regra Três;Toquinho & Vinicius
There's No More Corns On The Brasos;The Walkers
Got To Be There;Michael Jackson
Day After Day;Badfinger
I Am So Happy;Trio Galleta
Saturday In The Park;Chicago
Precious And Few;Climax
A Montanha;Roberto Carlos
Oração de Um Jovem Triste;Antonio Marcos
Vou Tirar Você Deste Lugar;Odair José
Dose Pra Leão;Cesar Costa Filho
Pérola Negra;Gal Costa
Sacramento;Middle Of The Road
Nada Será Como Antes;Elis Regina
Oh Girl;Chi-Lites
Don't Wanna Say Goodbye;Raspberries
Bala Com Bala;Elis Regina
Song Sung Blue;Neil Diamond
Everything I Own;Bread
So Far Away;Carole King
Mon Amour, Meu Bem, Ma Femme;Reginaldo Rossi 
A Taste Of Excitment;Carnaby St. Pop Orchestra And Choir
Quando as Crianças Saírem de Férias;Roberto Carlos
Mercy Mercy Me (The Ecology);Marvin Gaye
Frightened Girl;Silent Majority
Son Of My Father;Giorgio
I Wanna Be Where You Are;Jose Feliciano
La Question;Françoise Hardy
O Lado Direito da Rua Direita;Os Originais do Samba
I'm Still In Love With You;Al Green
Esse Mar é Meu;Eliana Pittman
San Vicente;Milton Nascimento
Beira-Mar;Eliana Pittman
Violão Não Se Empresta a Ninguém;Benito Di Paula
Hurting Each Other;Carpenters
Pop Concerto;Pop Concerto Orchestra
Preta Pretinha;Os Novos Baianos
Martim Cererê;Zé Catimba & Brasil Ritmo 67
Cais;Milton Nascimento
Casa e Comida;Núbia Lafayette
Cravo e Canela;Milton Nascimento
Baby I'm;A Want You;Bread
Where Is The Love;Roberta Flack & Donny Hathaway
Índia;Gal Costa
Going Back To Indiana;Jackson 5
Long Cool Woman (In A Black Dress);The Hollies
Remember Me;Diana Ross
Taj Mahal;Jorge Ben
The Candy Man;Sammy Davis, Jr.
Mucuripe;Elis Regina
Segure Tudo;Martinho da Vila
Floy Joy;Supremes
Por Deus Eu Juro;Claudia Barroso
O Menino da Gaita;Sergio Reis
Ninguém Tasca (O Gavião);Golden Boys
Meu Guarda-Chuva;Elizabeth Viana
Heart Of Gold;Neil Young
Oração de Mãe Menininha;Dorival Caymmi
Stick-Up;Honey Cone
Skyline Pigeon;Elton John
Jogo do Amor;Milionário & José Rico
How Do You Do?;Mouth & MacNeal
Quando o Carnaval Chegar;Chico Buarque
American Pie;Don McLean
Hoje Ainda é Dia de Rock;Sá, Rodrix & Guarabyra
Dança do Escorregador;Manhoso
The Lion Sleeps Tonight;Robert John
Cavaleiro de Aruanda;Ronnie Von
