Feelings;Morris Albert
Excuse Me;Junior
Goodbye Yellow Brick Road;Elton John
No Silêncio da Madrugada;Luiz Ayrão
You Make Me Feel Brand New;Stylistics
O Portão;Roberto Carlos
Don't Let The Sun Go Down On Me;Elton John 
Love's Theme;Love Unlimited Orchestra
Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê);Hyldon
Me And You;Dave McLean
The Air That I Breathe;Hollies
Gita;Raul Seixas
Song For Anna;Herb Ohta
Gaye;Clifford T. Ward
Abre Alas;Ivan Lins
Band On The Run;Paul McCartney & Wings
So Very Hard To Go;Tower Of Power
Rock Your Baby;George McCrae
O Mundo Melhor de Pixinguinha (Pizindim);Jair Rodrigues
Manhãs de Setembro;Vanusa
Jungle Boogie;Kool & The Gang
Vô Batê Pá Tu;Baiano & Os Novos Caetanos
Eres Tu (Touch The Wind);Mocedades
Bennie And The Jets;Elton John
Sideshow;Blue Magic
Love Me Or Leave Me Alone;Dennis Yost & The Classics IV
Eu Quero Apenas;Roberto Carlos
Canta, Canta Minha Gente;Martinho da Vila
Oh Very Young;Cat Stevens
Se Não For Amor;Benito Di Paula
Tu Nella Mia Vita;Wess & Dori Ghezzi
My Mistake;Diana Ross & Marvin Gaye
Amor Com Amor Se Paga;Carmen Silva
Quantas Lágrimas;Chrystina
Flores Astrais;Secos & Molhados
Cadeira de Rodas;Fernando Mendes
Sunshine On My Shoulders;John Denver
Toró de Lágrimas;Antonio Carlos & Jocafi
All In Love Is Fair;Barbra Streisand
Arrasta a Sandália;Trio Esperança
Until You Come Back To Me;Aretha Franklin
Tu Sei Cosi;Fred Bongusto
Anastácio (Samba Enredo Para Um Sambista Morto);Cesar Costa Filho
Vai Doer;Nazareno & Pena Branca
A Noite Mais Linda do Mundo;Odair José
We Can Make It Happen;Stylistics
Beleza Que é Você Mulher;Benito Di Paula
She;Charles Aznavour
Hello Old Friend;James Taylor
Noi Due Per Sempre;Wess & Dori Ghezzi
Lady It's Time To Go;Stu Nunnery
Let's Put It All Together;Stylistics
Eu Quero Apenas Carinho;José Augusto
The Way We Were;Barbra Streisand
My Love;Margie Joseph
Angie;Rolling Stones
Stop, Look, Listen (To Your Heart);Diana Ross & Marvin Gaye
Sylvia;Stevie Wonder
Amendoim Torradinho;Doris Monteiro
Cadê Você;Odair José
Toró de Lágrimas;Djalma Dias
Disritmia;Martinho da Vila
Machine Gun;Commodores
A Festa do Divino;Ivan Lins
Soleado;Francisco Cuoco
Além de Tudo;Benito Di Paula
Alvorecer;Clara Nunes
Dancing Machine;Jackson 5
Amor Que Não Presta Não Serve Pra Mim;Angela Maria
Devil Or Angel;Bryan Hyland
Aquarela Brasileira;Elza Soares
As Andorinhas;Secos & Molhados
Mistura de Carimbó;Eliana Pittman
Don't Worry 'Bout A Thing;Stevie Wonder
Ballad Of Danny Bayley;Elton John
Que Diacho de Dor;Maria Creuza
Conto de Areia;Clara Nunes
No Broken Heart;Chrystian
De Amor Eu Morrerei;Gal Costa
Dona da Casa;Antonio Carlos & Jocafi
Na Hora do Almoço;Belchior
Charlie Brown;Benito Di Paula
E Lá Vou Eu;João Nogueira
El Rey;Secos & Molhados
Pledging My Love;Diana Ross & Marvin Gaye
Esses Moços (Pobres Moços);Gilberto Gil
All In Love Is Fair;Stevie Wonder
In The Rain;Dramatics
João de Barro;Sergio Reis
Maior é Deus;Beth Carvalho
Make It Easy On Yourself;Oscar Toney Jr
Maracatu Atômico;Gilberto Gil
De Conversa em Conversa;Maria Creuza
Veneno;Eduardo Gudin, Márcia & Paulo Cesar Pinheiro
Nervos de Aço;Paulinho da Viola
A Dona do Primeiro Andar;Os Originais do Samba
Tell Me A Lie;Sammi Jo
O Trem das Sete;Raul Seixas
Como é Duro Trabalhar;Toquinho & Vinicius
O Espigão;Zé Rodrix
