Sonífera Ilha;Titãs
Como Eu Quero;Kid Abelha & Os Abóboras Selvagens
I Just Called To Say I Love You;Stevie Wonder
Óculos;Os Paralamas do Sucesso
Vai Passar;Chico Buarque
Esquinas;Djavan
Deixa Eu Te Amar;Agepê
You And I;Kenny Rogers
Fullgás;Marina
Inútil;Ultraje A Rigor
Lilás;Djavan
Knife;Rockwell
Brega-Chique (E o Vento Levou Black);Eduardo Dusek
Caminhoneiro;Roberto Carlos
Ebony Eyes;Rick James & Smokey Robinson 
Só Você;Vinicius Cantuária
Bete Balanço;Barão Vermelho
Thriller;Michael Jackson
All Night Long (All Night);Lionel Richie
Recado (Meu Namorado);Joanna
Fogueira;Angela Rô Rô
Meu Erro;Os Paralamas do Sucesso
Eu Sou Free;Sempre Livre
Me Chama;Lobão & Os Ronaldos
Owner Of A Lonely Heart;Yes
Xixi nas Estrelas;Guilherme Arantes
Joanna;Kool & The Gang
Eva;Rádio Taxi
Hello;Lionel Richie
Lindo Lago do Amor;Gonzaguinha
Somebody's Watching You;Rockwell
Against All Odds (Take A Look At Me Now);Phil Collins
Linda Juventude;14-Bis
Karma Chameleon;Culture Club
Over You;Lane Brody
I Guess That's Why They Call It The Blues;Elton John
Sonho de Ícaro;Biafra
Nada Mais (Lately);Gal Costa
Fixação;Kid Abelha & Os Abóboras Selvagens
Private Dancer;Tina Turner
Jump;Van Halen
Nada Tanto Assim;Kid Abelha & Os Abóboras Selvagens
Drive;The Cars
When Doves Cry;Prince
Say Say Say;Paul McCartney & Michael Jackson
Just My Imagination;Lillo Thomas
A Song For You;John Miles
Careless Whisper;George Michael
Certas Coisas;Lulu Santos
Is This The End?;New Edition
Heart And Soul;Huey Lewis & The News
I Can Dream About You;Dan Hartman
What's Love Got To Do With It;Tina Turner
A Mulher Invisível;Ritchie
Esa Mujer;Julio Iglesias
If Ever You're In My Arms Again;Peabo Bryson
Time After Time;Cindy Lauper
Baile dos Passarinhos;Gugu
Tic-Tic Nervoso;Magazine
Champagne;Manolo Otero
Talking In Your Sleep;Romantics
Eyes Without A Face;Billy Idol
Maior Abandonado;Barão Vermelho
I Am What I Am;Gloria Gaynor
Porque Não Eu?;Kid Abelha
Dancing In The Dark;Bruce Springsteen
I Feel For You;Chaka Khan
Comer, Comer;Brazilian Genghis Khan
Make Believe It's Your First Time;Carpenters
Vamos a La Playa;Righeira
Reggae Nights;Jimmy Cliff
São Paulo, São Paulo;Premeditando o Breque
Stuck On You;Lionel Richie
Quando Te Vi;Beto Guedes
Beat Acelerado;Metrô
Transas e Caretas;Trio Los Angeles
Lua My Love;Eduardo Dusek
Hey DJ;The World's Famous Supreme Team
Você em Minha Vida;Fafá de Belém
Toque de Malícia;Beth Carvalho
You're The Inspiration;Chicago
Betty Frígida;Blitz
Let's Get Together;Tina Turner
Ao Que Vai Chegar;Toquinho
Boys Do Fall In Love;Robin Gibb
Papel Maché;João Bosco
Tudo Azul;Lulu Santos
Do What You Do;Jermaine Jackson
Vereda Tropical;Ney Matogrosso
Eva;Umberto Tozzi
My Girl;Lillo Thomas
Almost Paradise;Ann Wilson & Mike Reno
Festa dos Insetos;Gilliard
Miss Me Blind;Culture Club
Veneno (Veleno);Marina
Férias de Verão;Sandra Sá
Enredo do Meu Samba;Sandra Sá
Where Is My Man;Eartha Kitt
Um Desejo Só Não Basta;Simone
SKA;Os Paralamas do Sucesso
