We Are The World;USA For Africa
Dona;Roupa Nova
Um Dia de Domingo;Gal Costa & Tim Maia
Careless Whisper;Wham! featuring George Michael
Louras Geladas;RPM
Vitoriosa;Ivan Lins
Like A Virgin;Madonna
Exagerado;Cazuza
Leva;Tim Maia
Sintonia;Tunai
Será;Legião Urbana
I Want To Know What Love Is;Foreigner
Nós Vamos Invadir Sua Praia;Ultraje a Rigor
Escrito nas Estrelas;Tetê Espíndola
Chuva de Prata;Gal Costa & Roupa Nova
Verde;Leila Pinheiro
Sem Pecado e Sem Juízo;Baby Consuelo
Take On Me;A-ha
Ainda é Cedo;Legião Urbana
Love Is Love;Culture Club
A Cruz e a Espada;RPM
Televisão;Titãs
Everybody Wants To Rule The World;Tears For Fears
De Volta Pro Aconchego;Elba Ramalho
Cherish;Kool & The Gang
Olhar 43;RPM
Crazy For You;Madonna
Me Liga;Os Paralamas do Sucesso
Amante Profissional;Herva Doce
Tudo Pode Mudar;Metrô
Money For Nothing;Dire Straits
Whisky A Go Go;Roupa Nova
O Pobre;Léo Jaime
Purple Rain;Prince & The Revolution
Shy Moon;Caetano Velso & Ritchie
Cheia de Charme;Guilherme Arantes
Tédio;Biquini Cavadão
Material Girl;Madonna
Lately;Stevie Wonder
Vaca Profana;Gal Costa
Heaven;Bryan Adams
Everytime You Go Away;Paul Young
Chora Coração;Wando
I Was Born To Love You;Freddie Mercury
Isso Aqui Tá Bom Demais;Dominguinhos & Chico Buarque
Still Loving You;Scorpions
A Fórmula do Amor;Kid Abelha & Os Abóboras Selvagens
Wake Me Up Before You Go-Go;Wham! 
One More Night;Phil Collins
Verde e Amarelo;Roberto Carlos
Geração Coca-Cola;Legião Urbana
Make No Mistake (He's Mine);Barbra Streisand & Kim Carnes
I Feel For You;Chaka Khan
Forever By Your Side;Manhattans
Coração Aprendiz;Fafá de Belém
I Can Wait Forever;Air Supply
I Miss You;Klymaxx
Nada Por Mim;Marina
I Shoud Have Known Better;Jim Diamond
Don't Close Your Eyes Tonight;John Denver
Serão Extra (Eu Fui Dar Mamãe);Dr. Silvana & Cia.
More Than I Can Bare;Matt Bianco
Primeiros Erros (Chove);Kiko Zambianchi
Shout;Tears For Fears
Smooth Operator;Sade
Private Dancer;Tina Turner
Hurt To Be In Love;Gino Vannelli
Saving All My Life For You;Whitney Houston
What About Me?;Kenny Rogers/Kim Carnes/James Ingram
Mira Ira;Lula Barbosa, Grupo Tarancón & Placa Luminosa
Ti Ti Ti;Metrô
Clouds Across The Moon;Rah Band
Coisas do Coração;Ritchie
The Heat Is On;Glenn Frey
Lobo;Absyntho
Egotrip;Blitz
Lover Why;Century
Too Late For Goodbyes;Julian Lennon
Mistérios da Meia-Noite;Zé Ramalho
Never;Heart
Invisible;Alison Moyet
Steady;Jules Shear
Verdades e Mentiras;Sá & Guarabyra
A Outra;Simone
Missing You;Diana Ross
Choro;Fábio Jr
Doce Magia;Fafá de Belém
Edge Of A Dream;Joe Cocker
Insensível;Titãs
Eu Me Amo;Ultraje a Rigor
Remember I Love You;Jim Diamond
Give A Little Love For Love;Stylistics
Forever Young;Alphaville
Jogo do Amor;Fevers
Sopra o Vento;Ritchie
Corações Psicodélicos;Lobão & Os Ronaldos
Tarzan Boy;Baltimora
Mal Nenhum;Joanna
Malandro Sou Eu;Beth Carvalho
Não Diga Nada;Prêntice
