Bem Que Se Quis;Marisa Monte
Deus Te Proteja de Mim;Wando
Entre Tapas e Beijos;Leandro & Leonardo
Don't Wanna Lose You;Gloria Estefan
Straight Up;Paula Abdul
Adelaide;Inimigos do Rei
Nuvem de Lágrimas;Fafá de Belém & Chitãozinho & Xororó
When I See You Smile;Bad English
Adocica;Beto Barbosa
Eternal Flame;Bangles
Tudo o Que Se Quer;Emílio Santiago & Verônica Sabino
The Living Years;Mike + The Mechanics
Baby I Love Your Way/Freebird (Medley);Will To Power
Direto no Olhar;Rosana
Tiêta;Luiz Caldas
Lost In Your Eyes;Debbie Gibson
No Rancho Fundo;Chitãozinho & Xororó
Anjo (Angel);Yahoo
Onde o Amor Me Leva;Rosana
Two Hearts;Phil Collins
Pais e Filhos;Legião Urbana
Blame It On The Rain;Milli Vanilli
Giving You The Best That I Got;Anita Baker
Forever Your Girl;Paula Abdul
I'll Be There For You;Bon Jovi
Tempero;Grupo Raça
Fica Comigo;Placa Luminosa
Paixão de Beata (Neném Mulher);Pinto do Acordeon
She Drives Me Crazy;Fine Young Cannibals
Bye Bye Tristeza;Sandra Sá
If You Don't Know Me By Now;Simply Red
Nascemos Pra Cantar;Chitãozinho & Xororó
When I'm With You;Sheriff
Oceano;Djavan
The Look;Roxette
Love Shack;The B-52's
Meia-Lua Inteira;Caetano Veloso
Like A Prayer;Madonna
Uma Barata Chamada Kafka;Inimigos do Rei
Look Away;Chicago
Paixão Antiga;Tim Maia
Coração do Agreste;Fafá de Belém
Patience;Guns N' Roses
Hold Me In Your Arms;Rick Astley
Baby Don't Forget My Number;Milli Vanilli
À Francesa;Marina
Right Here Waiting;Richard Marx
Minta Meu Sonho;Zeca Pagodinho
Vem Me Dar Um Beijo;Banda Beijo
Wild Thing;Tone Loc
Dancei;Martinho da Vila
Back To Life (However Do You Want Me);Soul II Soul
Angelia;Richard Marx
Miudinho, Meu Bem, Miudinho;Fundo de Quintal
Chama;Roupa Nova
Girl You Know It's True;Milli Vanilli
Toy Soldiers;Martika
Bamboleo;Gipsy Kings
Let The River Run;Carly Simon
Lua e Flor;Oswaldo Montenegro
One;Bee Gees
Walking Away;Information Society
Specially For You;Kylie Minogue & Jason Donovan
Kokomo;Beach Boys
Domino Dancing;Pet Shop Boys
How Can I Go On?;Freddie Mercury & Montserrat Caballé
Sonho Encantado;Yahoo
One Moment In Time;Whitney Houston
Renascer;Zizi Possi
Paradise City;Guns N' Roses
Miss You Much;Janet Jackson
Dreamin';Vanessa Williams
Don't Rush Me In;Taylor Dayne
If I Could Turn Back Time;Cher
Groovy Kind Of Love;Phil Collins
O Tempo Não Para;Simone
Hey Jude;Kiko Zambianchi
Jade;João Bosco
I Believe In You;Stryper
In Your Room;Bangles
Dizer Não é Dizer Sim;Kid Abelha
Babilônia Maravilhosa;Evandro Mesquita
Orinoco Flow (Sail Away);Enya
I'll Be Loving You (Forever);New Kids On The Block
Que Rei Sou Eu?;Eduardo Dusek & Luni
Someday We'll Be Together (El Camino);Santa Fé
Eu Te Amo;Zezé Di Camargo & Luciano
Wild, Wild West;The Escape Club
Flores;Titãs
What I Am;Edie Brickell & New Bohemians
Desejo de Amar;João Paulo & Daniel
Alma Gêmea;Sandra de Sá
Every Rose Has Its Thorn;Poison
Feira de Acari;M.C. Batata
I'll Always Love You;Taylor Dayne
A Lua e o Mar;Moraes Moreira e Pepeu Gomes
Burguesia;Cazuza
Amarra o Teu Arado a Uma Estrela;Gilberto Gil
When The Children Cry;White Lion
Madrugada Amiga;Ataíde & Alexandre
