Take A Bow;Madonna
Vira Vira;Mamonas Assassinas
Pelados em Santos;Mamonas Assassinas
Have You Ever Really Loved A Woman?;Bryan Adams
Kiss From A Rose;Seal
Eu Me Amarrei;João Paulo & Daniel
Lá Vem o Negão;Cravo & Canella
Catedral;Zélia Duncan
Na Boquinha da Garrafa;Companhia do Pagode
Fantasy;Mariah Carey
Xô Satanás;Asa de Águia
O Que é Que a Gente Não Faz Por Amor;Gian & Giovani
Foi a Primeira Vez;Zezé Di Camargo & Luciano
Back For Good;Take That
You Gotta Be;Des'ree 
Pacato Cidadão;Skank
Creep;TLC
The Rhythm Of The Night;Corona
Run Away;Real McCoy
You Are Not Alone;Michael Jackson
On Bended Knee;Boyz II Men
Tão Só;Só Pra Contrariar
This Is How We Do It;Montell Jordan
Estudo Errado;Gabriel O Pensador
Another Girl;Real McCoy
Sweet Dreams;La Bouche
Paparico;Molejo
Beijo na Boca - Netinho
Malandragem;Cássia Eller
Frente a Frente;Royce do Cavaco
Red Light Special;TLC
Waterfalls;TLC
Preciso de Você;Netinho
Prazer Por Prazer;Chrystian & Ralf
Bailão de Peão;Chitãozinho & Xororó
Runaway;Janet Jackson
Gangsta's Paradise;Coolio featuring L.V.
Pareço Um Menino;Fábio Jr.
Demorou Para Abalar;Grupo Pirraça
Corpo Lúcido;Katinguelê
Absoluta;Negritude Jr.
No More "I Love You's";Annie Lennox
Preciso Dizer Que Te Amo;Leo Jaime
Boombastic;Shaggy
Domingo;Titãs
Festa de Rodeio;Leandro & Leonardo
Run Around;Blues Traveler
Take A Toke;C+C Music Factory 
Samba Pras Moças;Zeca Pagodinho
Total Eclipse Of The Heart;Nicki French
Be My Lover;La Bouche
Que Dure Para Sempre;João Paulo & Daniel
Pra Sempre Vou Te Amar;Wilson & Soraia
É Tarde Demais;Raça Negra
Save Me Now;Andru Donalds
Marrom Bombom;Os Morenos
One Sweet Day;Mariah Carey & Boyz II Men
Black Roses;Inner Circle
Short Dick Man;20 Fingers featuring Gillette
Always;Bon Jovi
Sereia;Lulu Santos
Before I Let You Go;BLACKstreet
Only Wanna Be With You;Hootie & The Blowfish
Here Comes The Hotstepper;Ini Kamoze
Dreaming Of You;Selena
Admito Que Perdi;Marina Lima
Me Abraça;Banda Eva
There Is A Party;DJ Bobo
Página de Amigos;Chitãozinho & Xororó
Over My Shoulder;Mike + The Mechanics
Tara;Cheiro de Amor
Let Her Cry;Hootie & The Blowfish
Nunca Mais Te Machucar;Só Pra Contrariar
Pão de Mel;Zezé Di Camargo & Luciano
E o Bicho Vai Pegar;Terra Samba
Robocop Gay;Mamonas Assassinas
Mishale;Andru Donalds
Strong Enough;Sheryl Crow
Scream;Michael Jackson & Janet Jackson
Viola Caipira;Gian & Giovani
Esse Amor Que me Mata;Chrystian & Ralf
Vem Me Dar Um Beijo/Tô Querendo;Fundo de Quintal
Toneladas de Desejo;Timbalada
Tá Delícia, Tá Gostoso;Martinho da Vila
Cotton Eye Joe;Rednex
Don't Take It Personal;Monica
I Believe;Blessid Union Of Souls
Chains;Tina Arena
Trilhas (Traces);Guilherme Arantes
Candy Rain;Soul For Real
I Know;Dionne Farris
Hold My Hand;Hootie & The Blowfish
Scatman (Ski-Ba-Bop-Ba-Dop-Bop);Scatman John
Delícia de Amor;Grupo Raça 
Primeiros Erros (Chove);Simonny
I Could Fall In Love;Selena
Alcohol;Jorge Benjor
A Lata;Fernanda Abreu
Legalize Já;Planet Hemp
Quem é Você;Simone
