Sozinho;Caetano Veloso (Universal)
Mina de Fé;Os Morenos (Universal)
Pra Falar A Verdade;Daniel (Continental)
Me Apaixonei Pela Pessoa Errada;Exaltasamba (EMI)
Pela Vida Inteira;Kiloucura (BMG)
She's All I Ever Had;Ricky Martin (Sony)
Corazón Partio;Alejandro Sanz (Warner)
Nunca Vou Deixar Você;Karametade (Sony)
Só Love;Claudinho & Buchecha (Universal)
I Want It That Way;Backstreet Boys (Virgin)
Dois Corações E Uma História;Zezé Di Camargo & Luciano (Sony)
Cachorrada;Gabriel O Pensador (Sony)
Vai Dar Samba;Daniel (Continental)
Mambo N.o 5;Lou Bega (BMG)
Universo de Prazer;Da Melhor Qualidade (Atração)
O Vento;Jota Quest (Sony)
Não Foi A Toa;Soweto (EMI)
Pare!;Zezé Di Camargo & Luciano (Sony)
Tá Tudo Bem;Ivete Sangalo (Universal)
Depois;Pato Fu (BMG)
Sai da Minha Aba;Só Pra Contrariar (BMG)
Farol das Estrelas;Soweto (EMI)
120... 150... 200 Km Por Hora;Leonardo (BMG)
Quando A Gente Ama;Os Travessos (Atração)
Believe;Cher (Warner)
Anna Júlia;Los Hermanos (Abril)
Indecisão;Netinho (Universal)
Ela É Demais;Rick & Renner (Continental)
Mel Na Minha Boca;Desejos (PlayArte)
Quando Você Me Beija;Art Popular (EMI)
Sorriso de Marfim;Sensação (Continental)
Minha Razão de Viver;Ara Ketu (Sony)
E Aí;Swing & Simpatia (Sony)
Bem Querer;Maurício Manieri (Abril)
Goodbye;Spice Girls (Virgin)
Xereta;Claudinho & Buchecha (BMG)
Genie In A Bottle;Christina Aguilera (BMG)
Eternamente;Sem Compromisso (Continental)
Someday;Sugar Ray (Warner)
From This Moment On;Shania Twain (Universal)
Fly Away;Lenny Kravitz (Warner)
A Cor do Sol;Cidade Negra (Sony)
Mandrake e Os Cubanos;Skank (Sony)
Interfone;Só Pra Contrariar (BMG)
Hoje A Noite Não Tem Luar;Legião Urbana (EMI)
O Pinto;Raça Pura (BMG)
Machuca Demais;Só Pra Contrariar (BMG)
If You Had My Love;Jennifer Lopez (Sony)
Seu Balancê;Zeca Pagodinho (Universal)
Mentira Que Virou Paixão;Leonardo (BMG)
Mulher de Fases;Raimundos (Warner)
Alma e Coração;José Augusto (Sony)
Pior é Te Perder;Zezé Di Camargo & Luciano (Sony)
Samba Rock do Molejão;Molejo (BMG)
Imortal;Sandy & Junior (Universal)
Deus Me Livre;Raça Negra (Universal)
She;Elvis Costello (Warner)
Dois Amigos;Julio Iglesias/Zezé Di Camargo & Luciano (Sony)
Tu Mandas no Meu Coração;Os Travessos (Atração)
You'll Be In My Heart;Phil Collins (Abril)
Eu Não Vou;Fat Family (EMI)
Lamba Tchan;É O Tchan (Universal)
Amanhã;Roberta Miranda & Reginaldo Rossi (Universal)
Y, Si Fuera Ella?;Alejandro Sanz (Warner)
Minha Deusa;Katinguelê (Continental)
A Gente Se Entrega;Rionegro & Solimões (Polydor)
Mania de Você;Pepê & Neném (Virgin)
Livin' La Vida Loca;Ricky Martin (Sony)
Dança do Vampiro;Asa de Águia (BMG)
Carona do Amor;Exaltasamba (EMI)
Juliana (A Boa);Raça Pura (BMG)
No Fundo do Coração;Sandy & Junior (Universal)
Last Kiss;Pearl Jam (Sony)
Kiss Me;Sixpence None The Richer (Warner)
Tô Fazendo Falta;Joanna (BMG)
Vida Vazia;Bruno & Marrone (Abril)
To Love You More;Celine Dion (Sony)
A Mais Pedida;Raimundos (Warner)
Te Perdi;Chris Durán (Universal)
You Get What You Give;New Radicals (Universal)
Declaração de Amor;Daniel (Continental)
Fácil;Jota Quest (Sony)
Palpite;Terra Samba (Globo/Universal)
Cara de Pau;Rick & Renner (Continental)
Meu Casamento;Kiloucura (BMG)
Muleca;Rick & Renner (Continental)
Doo Wop (That Thing);Lauryn Hill (Sony)
Pretty Fly (For A White Guy);The Offspring (Sony)
Never There;Cake (Universal)
Uh! Tiazinha;Tiazinha & Vinny (Sony)
Garçon (ao vivo);Reginaldo Rossi (Sony)
I Still Believe;Mariah Carey (Sony)
Every Morning;Sugar Ray (Warner)
...Baby One More Time;Britney Spears (Virgin)
Sai da Frente;Art Popular (EMI)
Sometimes;Britney Spears (Virgin)
Pelados em Santos;Titãs (Warner)
Scar Tissue;Red Hot Chili Peppers (Warner)
De Ladinho;Banda Eva (Universal)
Cadê Você Que Não Está;Sandy & Junior (Universal)
