My boo;Usher & Alicia Keys
Eu amo;Zezé Di Camargo & Luciano
Quer casar comigo?;Bruno & Marrone    
Fui eu;Zezé Di Camargo & Luciano
Boulevard of broken dreams;Green Day  
Choram as rosas;Bruno & Marrone  
Você sempre será;Marjorie Estiano
Como vai você;Zezé Di Camargo & Luciano ft Antonio Marcos
Um minuto para o fim do mundo;CPM 22
Lonely;Akon
Cadê meu amor?;Zeca Pagodinho
Céu da boca;Ivete Sangalo & Gilberto Gil
Festa no apê;Latino
We belong togheter;Mariah Carey
C.B. Sangue bom (acústico);Marcelo D2
Um mais um;Skank
É amor demais;Edson & Hudson
Vamos fugir;Skank
Doce desejo;Babado Novo  
Irresistível;CPM 22    
Candy shop;50 Cent ft Olivia
Speed of sound;Coldplay
Incomplete;Backstreet Boys
Numb/Encore;Jay-Z/Linkin Park
She will be loved;Maroon5
Inevitável (ao vivo);Bruno & Marrone  
Uma vez mais;Ivo Pessoa
Don`t phunk with my heart;The Black Eyed Peas
A desconhecida;Leonardo
A ilha;KLB
O amor que eu sempre quis;Levada Louca & Belo ou Belo & Paulinha
Na frente do reto;O Rappa
Don`t lie;The Black Eyed Peas
Meu ébano;Alcione
Wake me up when september ends;Green Day
Poligamia;Kid Abelha
Other side of the world;KT Tunstall
Shut up!;Simple Plan
Coração;Rapazolla
Abalou;Ivete Sangalo
Os amantes;Daniel (Continental)
Magia e mistério;Guilherme & Santiago
Senhorita;Motirô (Hum Batuque)
Get right;Jennifer Lopez
Hollaback girl;Gwen Stefani
Car wash;Christina Aguilera ft Missy Elliott
Duvido (ao vivo);Bokaloka
Hung up ;Madonna
100% Você;Chiclete com Banana
Apaixonado (Imbranato);Hugo & Thiago
Amor, amor;Wanessa Camargo
A volta;Roberto Carlos
Vem, Habib (wala, wala);Rouge
Mulheres são de vênus, os homens são de marte ;Tihuana
Anacrônico;Pitty
Homem carente;Rick & Renner
Missing;Evanescence
Não me conte seus problemas;Banda Eva ft Ivete Sangalo
Peito aberto;Kid Abelha
Foi;Zezé Di Camargo & Luciano  
Bebedeira;Rick & Renner
Desatino;Daniel (Continental)
Se;Fábio Jr.  
Tira ela de mim;Alexandre Pires
Gasolina;Daddy Yankee
Tantas palavras;Marlon & Maicon ft Robin Gibb
Sere nere;Tiziano Ferro ft Liah
Um anjo;KLB
Já tentei;Exaltasamba
Codinome beija-flor (ao vivo);Barão Vermelho ft Cazuza
Escuta aí rapaz;Kelly Key
Me chama de amor;Babado Novo
Nua;Ana Carolina  
Se ainda existe amor;Leonardo  
Ao sentir o amor;Alexandre Pires ft Fat Family
Lutar pelo que é meu;Charlie Brown Jr.
Eu quero sempre mais;Ira! ft Pitty
Lose my breath;Destiny's Child
Vertigo;U2
Breaking the habit;Linkin Park
Pareço um menino;Leonardo
Just lose it;Eminem
Nobody`s home;Avril Lavigne
Além das ondas;Cidade Negra
Vida real;Engenheiros do Hawaii
1967 (ao vivo);Marcelo D2
Sunday morning;Maroon5
Lose control;Missy Elliott ft Ciara & Fat Man Scoop
Sistema bruto;Chitãozinho & Xororó
Ai, ai, ai... (Deep lick radio mix);Vanessa da Mata
Por que choras?;Bruno & Marrone ft Joelma/Banda Calypso
La tortura;Shakira ft Alejandro Sanz
Renata;Tihuana
Além do horizonte;Jota Quest
Vossa excelência;Titãs
Respirar você;Capital Inicial
Hey ho;Tragedie
A lua me traiu;Banda Calypso
Sou a Barbie girl;Kelly Key
1, 2 step;Ciara
