Circus;Britney Spears
Halo;Beyoncé
Agenda;Ornella Di Santis & Belo
Não Tente me Impedir;Bruno & Marrone
Te Amo;Rihanna
Foi Você Quem Trouxe;Edson & Hudson
Boom Boom Pow;The Black Eyed Peas
Just Dance;Lady GaGa ft Colby O'Donis
Deus e Eu no Sertão;Victor & Leo
Fly;Wanessa Camargo & Ja Rule
Single Ladies (Put A Ring On It);Beyonce
Paparazzi;Lady GaGa
A lhe Esperar;Os Paralamas do Sucesso
Poker Face;Lady GaGa
I Gotta Feeling;The Black Eyed Peas
Sutilmente;Skank
Me Encontra;Charlie Brown Jr.
Hot N Cold;Katy Perry
Cadê Dalila;Ivete Sangalo
Me Adora;Pitty
Hush Hush;The Pussycat Dolls
If U Seek Amy;Britney Spears
Imprevisível (ao vivo);Edson & Hudson ft Bruno & Marrone
I'm Yours;Jason Mraz
Alguém Que Te Faz Sorrir;Fresno
Paga Pau (ao vivo);Fernando & Sorocaba
She Wolf;Shakira
I Hate This Part;The Pussycat Dolls
I Want To Know What Love Is;Mariah Carey
Celebration;Madonna
Cartas Pra Você;NX Zero
Daqui Pra Frente;NX Zero
Nada Es Normal;Victor & Leo
Live Your Life;T.I. ft Rihanna
Chora, Me Liga;João Bosco & Vinicius
Agora Eu Já Sei;Ivete Sangalo
Lucky;Jason Mraz ft Colbie Caillat
3;Britney Spears
Womanizer;Britney Spears
Love Sex Magic;Ciara ft Justin Timberlake
Right Now (Na Na Na);Akon
Down;Jay Sean ft Lil Wayne
Closer;Ne-Yo
Pessoal Particular;Seu Jorge
If I Were A Boy;Beyonce
Espero a Minha Vez;NX Zero
Right Round;Flo Rida
Thinking Of You;Katy Perry
Rehab;Rihanna
Passos Escuros;Hevo 84
Voa Beija-Flor;Jorge & Mateus
Miss Independent;Ne-Yo
Radar;Britney Spears
Sorri, Sou Rei;Natiruts & Claudia Leitte
Obssessed;Mariah Carey
Mad;Ne-Yo
Burguesinha;Seu Jorge
Pra Não Chorar;Edson & Hudson
O Amor de Antes;Hugo & Thiago ft Zezé Di Camargo & Luciano
O Que Vai Ser de Nós;Zezé Di Camargo & Luciano
Selinho na Boca;Latino & Perlla
Tudo Passa;Túlio Dek & Di Ferrero
Estrela Cadente;Victor & Leo
Meet Me Halfway;The Black Eyed Peas
Kiss Me Thru The Phone;Soulja Boy Tell'em ft Sammie
The Climb;Miley Cyrus
Day 'N' Nite;Kid Cuti
Na Base do Beijo;Ivete Sangalo
Jay Ho (You Are My Destiny);A.R. Rahman & The Pussycat Dolls
Heartless;Kanye West
I'm So Paid;Akon
Dead And Gone;T.I. ft Justin Timberlake
Ego;Beyoncé
Divina Comédia;Scracho
Desabafo;Marcelo D2
Entre Olhares;Ana Carolina ft John Legend
Beijar na Boca;Claudia Leitte
Reinventar;Belo
Garota Radical;Cine
Bad Romance;Lady Gaga
I Know You Want Me (Calle Ocho);Pitbull
Miles Away;Madonna
My Life Would Suck Without You;Kelly Clarkson
Vem Andar Comigo;Jota Quest
Podia Ser;Agnela
Untouched;The Veronicas
E Agora Nós;Sorriso Maroto & Ivete Sangalo
Menino da Porteira;Daniel
O Que Você Sempre Quis;Stevens
Minha Paz;Gloria
Empire State Of Mind;Jay-Z + Alicia Keys
Sweet Dreams;Beyonce
Sexy Chick (Sexy Bitch);David Guetta ft Akon
Midnight Bottle;Colbie Caillat
Você Sabia;Victor & Leo
Tudo no Olhar;Marcos & Bellutti
Party In The U.S.A.;Miley Cyrus
Seis e Trinta;Jota Quest
It's Alright, It's OK;Ashley Tisdale
Versos Simples;Chimarruts
