Call Me Maybe;Carly Rae Jepsen
Somebody That I Used To Know;Gotye ft Kimbra
Te Vivo;Luan Santana
Incondicional;Luan Santana
Humilde Residência;Michel Teló
What Makes You Beautiful;One Direction
É Tenso;Fernando & Sorocaba
Eu Sem Você;Paula Fernandes
Lê Lê Lê;João Neto & Frederico
Last Friday Night (T.G.I.F.);Katy Perry
Marry The Night;Lady Gaga
Part Of Me;Katy Perry
Long Live;Paula Fernandes & Taylor Swift
Vem Ni Mim, Dodge Ram;Israel Novaes ft Gusttavo Lima
Não Me Perdoei;Victor & Leo
Criminal;Britney Spears
Camaro Amarelo;Munhoz & Mariano
Whistle;Flo Rida
Já Não Sei Mais Nada;Bruno & Marrone
Sexy And I Know It;LMFAO
Nêga;Luan Santana
Wide Awake;Katy Perry
Ai Se Eu Te Pego;Michel Teló
Sensações;Paula Fernandes
A Verdade;Fernando & Sorocaba
Cuidar Mais de Mim;Paula Fernandes
Balada;Gusttavo Lima
Assim Você Mata o Papai;Sorriso Maroto
We Are Never Ever Getting Back Together;Taylor Swift
Não Precisa;Paula Fernandes ft Victor & Leo
Moves Like Jagger;Maroon 5 ft Christina Aguilera
Give Me All Your Luvin';Madonna ft Nicki Minaj & M.I.A.
Eu Não Vou Aceitar;Bruno & Marrone
Boyfriend;Justin Bieber
Eu Quero Tchu, Eu Quero Tcha;João Lucas & Marcelo
Someone Like You;Adele
Ainda Bem;Thiaguinho
Se Eu Te Pego Te Envergonho;Sorriso Maroto
You And I;Lady Gaga
Lighters;Bad Meets Evil ft Bruno Mars
Gangnam Style;Psy
Lágrimas;Victor & Leo
Payphone;Maroon 5 ft Wiz Khalifa
Sonho de Amor;Zezé de Camargo & Luciano
Wild Ones;Flo Rida ft Sia
Ex Mai Love (Ex My Love);Gaby Amarantos
60 Segundos;Gusttavo Lima
Rabiosa;Shakira ft Pitbull
Meu Grito de Amor;Eduardo Costa & Paula Fernandes
Não é Normal;NX Zero
Diamonds;Rihanna
Quando Você Some;Victor & Leo ft Zezé Di Camargo & Luciano
Gatinha Assanhada;Gusttavo Lima
Juras de Amor;Bruno & Marrone
Stereo Hearts;Gym Class Heroes
We Are Young;Fun. ft Janelle Monáe
Sou o Cara Pra Você;Thiaguinho
Locked Out Of Heaven;Bruno Mars
É Nóis Fazê Parapapá;Michel Teló ft Sorriso Maroto
Esse Cara Sou Eu;Roberto Carlos
Maré;NX Zero
No Brilho Desse Olhar;Ivete Sangalo
Dance Again;Jennifer Lopez ft Pitbull
Where Have You Been;Rihanna
We Found Love;Rihanna ft Calvin Harris
Turn Up The Music;Chris Brown
Turn Me On;David Guetta ft Nicki Minaj
Live While We're Young;One Direction
Blow Me (One Last Kiss);P!nk
Nunca Amei Alguém Como Te Amei;Ivete Sangalo
Skyscraper;Demi Lovato
In The Dark;Dev
Paradise;Coldplay
Amor Covarde;Jorge & Mateus
Amor de Alma;Victor & Leo
Domino;Jessie J
It Will Rain;Bruno Mars
Férias em Salvador;Fernando & Sorocaba
Stronger (What Doesn't Kill You);Kelly Clarkson
Céu Azul;Charlie Brown Jr.
As Long As You Love Me;Justin Bieber ft Big Sean
Você Mudou;Cristiano Araújo
Buquê de Flores;Thiaguinho
All Around The World;Justin Bieber ft Ludacris
Back In Time;Pitbull
Começar de Novo;Eduardo Costa
Video Games;Lana Del Rey
Good Feeling;Flo Rida
Vida de Empreguete;Música das Empreguetes (Elenco da Novela)
One More Night;Maroon 5
Sou Seu Amor e Você é Minha Vida;Zezé de Camargo & Luciano
Baby, Fala Pra Mim;Leonardo
Mais Perto de Mim;Jota Quest
Fluxo Perfeito;Strike
Cheers (Drink To That);Rihanna
Parede de Vidro;Bruno & Marrone
I Won't Give Up;Jason Mraz
I Love You;Marcos & Belutti
Pra Ser Feliz;Daniel
Dança Kuduro;Daddy Kall ft Latino
