Happy;Pharrell Williams
Royals;Lorde
All Of Me;John Legend
Blá Blá Blá;Anitta
Cobertor;Anitta f& Projota
Até Você Voltar;Henrique & Juliano
You & I;One Direction
Domingo de Manhã;Marcos & Belutti
Dark Horse;Katy Perry ft Juicy J
Mozão;Lucas Lucco
Rude;Magic!
Shake It Off;Taylor Swift
Diz Pra Mim;Malta
Zen;Anitta
Pompeii;Bastille
Lepo Lepo;Psirico
Maus Bocados;Cristiano Araújo
Summer;Calvin Harris
Logo Eu;Jorge & Mateus
Wiggle;Jason Derulo & Snoop Dogg
A Sky Full Of Stars;Coldplay
Gaveta;Fernando & Sorocaba
Beijinho no Ombro;Valesca Popozuda
The Monster;Eminem & Rihanna
Você me Vira a Cabeça;Bruno & Marrone
Vou Te Amarrar na Minha Cama;Bruno & Marrone
Fancy;Iggy Azalea & Charli XCX
Tudo com Você;Victor & Leo
O Tempo Não Apaga;Victor & Leo
Tempo de Alegria;Ivete Sangalo
Flores em Vida;Zezé Di Camargo & Luciano
Waves;Mr. Probz
Tanto Faz;Luan Santana
Problem;Ariana Grande & Iggy Azalea
Can't Remember To Forget You;Shakira ft Rihanna
Calma;Jorge & Mateus
Tô Solto na Night, Tô;Gusttavo Lima
Break Free;Ariana Grande & Zedd
All About The Bass;Meghan Trainor
Black Widow;Iggy Azalea & Rita Ora
Recaídas;Henrique & Juliano
Magic;Coldplay
Os Dez Mandamentos do Amor;Eduardo Costa
Mármore;Fernando & Sorocaba
You're Still The One;Paula Fernandes & Shania Twain
Habits (Stay High);Tove Lo
Sol da Minha Vida;Naldo Benny ft Ivete Sangalo
Work Bitch!;Britney Spears
Maps;Maroon 5
Jogado na Rua;Guilherme & Santiago
Memórias (Come Wake Me Up);Malta
Steal My Girl;One Direction
Mais Fácil (Easier);Sorriso Maroto & Brian McKnight
Dare (La La La) (remix);Shakira & Carlinhos Brown
Baculejo;Raimundos
Teorias;Zezé Di Camargo & Luciano
Boom Clap;Charli XCX
Drunk In Love;Beyoncé & Jay-Z
Talk Dirty;Jason Derulo & 2 Chainz
Love Never Felt So Good;Michael Jackson & Justin Timberlake
Cê Topa?;Luan Santana
Deusas do Amor;Ivete Sangalo & Claudia Leitte
Horário de Verão;Turma do Pagode
Story Of My Life;One Direction
A Verdadeira Arte;Dnaipes
Hey Brother;Avicii
Bang Bang;Jessie J, Ariana Grande & Nicki MInaj
Guerra Fria;Sorriso Maroto & Jorge & Mateus
Pretty Hurts;Beyoncé
Amor Que Não Sai;Ivete Sangalo
Ain't It Fun;Paramore
Cuida Bem Dela;Henrique & Juliano
Quem é;Paula Fernandes
Timber;Pitbull & Ke$ha
Será Que é Amor;Thiaguinho
Implorando Pra Trair;Michel Teló & Gusttavo Lima
Walking On Air;Katy Perry
Coração Apertado;Thaeme & Thiago
Na Batida;Anitta
Stay With Me;Sam Smith
Bala Perdida;Ricardo & João Fernando
Que Mal Te Fiz Eu;Gusttavo LIma
Chandelier;Sia
Quem é Ela?;Marco & Mário
Amor Pra Recomeçar (Live In London);Jorge & Mateus
Levemente Alterado;Michel Teló & Bruninho & Davi
Birthday;Katy Perry
Demons;Imagine Dragons
Sem Você a Vida é Tão Sem Graça;Thiaguinho
Só Vejo Você;Tânia Mara
We Are One (Ole Ola);Pitbull & Jennifer Lopez & Claudia Leitte
CDs e Livros;Thaeme & Thiago
She Looks So Perfect;5 Seconds Of Summer
Anaconda;Nicki Minaj
Faz de Conta;Eduardo Costa
Sonhar;MC Gui
Segue o Som;Vanessa da Mata
Enquanto Você Dormia;Projota
Te Dar Um Beijo;Michel Teló & Prince Royce
Anjos de Plantão;Ivo Mozart & Doncezão
