Estúpido Cupido;Celly Campelo
Vai, Mas Vai Mesmo;Nora Ney
Smoke Gets In Your Eyes;The Platters
Quem é?;Osmar Navarro
A Felicidade;Agostinho dos Santos
Laçinhos Cor de Rosa;Celly Campello
Deusa do Asfalto;Nelson Gonçalves
Perfume de Gardenia;Bienvenido Granda
Dindi;Sylvia Telles
Não Diga o Nome;Anísio Silva
Ave Maria Lola;Carlos Galhardo
Ciclone;Carlos Nobre
Madureira Chorou;Germano Mathias
Na Cadência do Samba;Elizeth Cardoso
Tu Somente Tu;Anísio Silva
Recado;Maysa
I Need Your Love Tonight;Elvis Presley
Por Uma Noite Ainda;Orlando Dias
Petite Fleur;Bob Crosby Orchestra
Mack The Knife;Bobby Darin
Meu Segredo;Luis Claudio
Siete Notas de Amor;Trio Los Panchos
Comme Prima;Trigêmeos Vocalistas
Piston de Gafieira;Silvio Caldas
Quero Beijar-te as Mãos;Anísio Silva
Roseli;Sid Grey Orchestra
Oh Carol;Neil Sedaka
Eu Sei Que Vou Te Amar;Elza Laranjeira
A Certain Smile;Johnny Mathis
Se Eu Pudesse;Orlando Dias
Personality;Don Taylor
Felicidade;Zezé Gonçalves
Prece ao Sol;Nelson Gonçalves
Fim de Estrada;Carlos Galhardo
King Creole;Elvis Presley
Meu Coração Canta;Carlos Gonzaga
Venus;Frankie Avalon
Piove;Angela Maria
Sax Cantabili;Silvio Mazzuca
Comme Prima;Umberto Marcato
Jambalaya;Brenda Lee
Brigas, Nunca Mais;Marlene
Personality;Lloyd Price
Chiclete Com Banana;Jackson do Pandeiro
Pombo Correio;Gilberto Alves
Hino ao Amor;Wilma Bentivegna
Ela Disse-me Assim;Jamelão
Revolta;Nelson Gonçalves
Donde Estás Mi Vida;Joselito
A Teenager In Love;Dion & The Belmonts
Ansiedad;Nat King Cole
Calypso Italiano;Marlene
Chiclete Com Banana;Gordurinha
Bom-Dia, Meu Amor;Marlene
Dynamite;Brenda Lee
Canção da Tristeza;Morgana
Madrid;Nat King Cole
De Conversa em Conversa;Isaura Garcia
Milagre da Volta;João Dias
Donna;Ritchie Valens
Sem Ninguém Por Mim;Duo Guarujá
E Daí?;Isaura Garcia
Chove (Piove);Marlene
Bim Bom;João Gilberto
Fiz a Cama na Varanda;Inezita Barroso
Eu Sei Que Vou Te Amar;Osny Silva
Frankie;Regiane & The Avalons
Este Seu Olhar;Morgana
Dá-me Tuas Mãos;Orlando Silva
Colcha de Retalhos;Cascatinha & Inhana
De Degrau em Degrau;Osny Silva
Errei, Erramos;Orlando Silva
Manhã de Carnaval;João Gilberto
Marcianita;Sergio Murillo
Meditação;Isaura Garcia
Conselho;Morgana
Solidão;Dolores Duran
Mágoa;Silvia Telles
Margarida;Sonia Dutra
Minha Crença;Francisco Egydio
My Happiness;Connie Francis
Esquina do Pecado;Marlene
It's Only Make Believe;Conway Twitty
Chantily Lace;Big Bopper
Minha Oração (My Prayer);Jairo Aguiar
O Vendedor de Caranguejo;Gordurinha
Topsy II;Cozy Cole
Quem é?;Hebe Camargo
Pink Shoe Laces;Dodie Stevens
Estrada do Sol;Silvia Telles
Tears On My Pillow;Little Anthony & The Imperials
Rosalinda;Orlando Silva
Isso é Lá Com Santo Antonio;Marlene
Regresso;Carlos Nobre
China Rock;The Avalons
Por Um Beijo de Amor;Francisco Egydio
Ô Diacho;Dupla Ouro e Prata
Chega de Saudade;Severino Araújo & Orquestra Tabajara
Erros de Gramática;Marlene
Fim de Caso;Dolores Duran
