Palhaçada;Doris Monteiro
Blue Moon;The Marcels
Bat Masterson;Carlos Gonzaga
Faz Me Rir;Edith Veiga
Biquini de Bolinha Amarelinha;Ronnie Cord
It's Now Or Never;Elvis Presley
Surrender;Elvis Presley
Negue;Nelson Gonçalves
Maringá;Carlos Galhardo
Ninguém é de Ninguém;Cauby Peixoto
Boato;Elza Soares
Solidão;Núbia Lafayette
Ansiedad;Nat King Cole
Devaneio;Djalma Ferreira
The Twist;Chubby Checker
Mulata Assanhada;Miltinho
Calcutta;Lawrence Welk
Look For A Star;Garry Miles
Exodus;Ferrante & Teicher
Apache;The Jet Blacks
La Barca;Trio Cristal
O Barquinho;João Gilberto
Runaway;Del Shannon
My Home Town;Paul Anka
Corina, Corina;Demetrius
Coração de Luto;Teixeirinha
Agora;Alcides Gerardi
Perdão Para Dois;Cauby Peixoto
Pelo Bem Que Te Quero;Orlando Dias
Poema do Adeus;Miltinho
Bata Baby;Wilson Miranda
Wonderland By Night;Bert Kaempfert
Ternura Antiga;Tito Madi
Só Vou de Mulher;Os Cariocas
Água de Beber;Isaura Garcia
Pony Time;Chubby Checker
Never On Sunday;Melina Mercouri
Michael;The Highwaymen
G.I. Blues;Elvis Presley
Aliança;Fernando Barreto
Marcha do Pintinho;Emilinha Borba
A Noiva;Angela Maria
Ninguém Chora Por Mim;Moacyr Franco
O Amor em Paz;João Gilberto
Olga;Os Cometas
Wheels;String-A-Longs
Amor em Paz;João Gilberto
Amor Impossível;Carlos Nobre
Cadeira Vazia;Elza Soares
Dinah;Clério Morais
Abismo de Rosas;Dilermando Reis
Ironia;Carlos Nobre
Apache;The Shadows
Ciúme em Tudo;Orlando Dias
Justiça de Deus;Leila Silva
Lágrimas de Palhaço;Osny Silva
Never On Sunday;Don Costa
Paciência;Osny Silva
Greenfields;Cantores de Ébano
Maria Chiquinha;Sônia Mamede
Poema das Mãos;Moacyr Franco
Leva Eu Sodade;Nilo Amaro & Os Cantores de Ébano
Run Samson Run;Neil Sedaka
Saudade;Dalva de Oliveira
Louco Por Você;Roberto Carlos
A Lua é dos Namorados;Angela Maria
O Bom Menino;Carequinha
Abaixo de Adeus;Jorge Veiga
Amargo Retorno;Trio Cristal
Seria Tão Diferente;Núbia Lafayette
Analfabeta em Amor;Ellen de Lima
Não Sabemos;Leila Silva
As Folhas Verdes;Wilma Bentivegna
Quero Morrer no Carnaval;Linda Batista
Devolvi;Núbia Lafayette
Ave-Maria;Dalva de Oliveira
Me Leva Pro Céu;Emilinha Borba
Não Me Envergonho;Osny Silva
Zé Bonitinho;Jorge Loredo
Beija-me Depois;Anísio Silva
Deixa-me Andar;Elizeth Cardoso
Rock do Ratinho;Carequinha
Borrasca;Angela Maria
Boudah;The Jordans
Minhas Namoradas;Cauby Peixoto
Save The Last Dance For Me;Ronnie Lummer
Rock do Saci;Demétrius
Alma de Boêmio;José Orlando
Cansei de Rock;Nora Ney
Eu Já Te Vi;Rogéria
Castiguei;Altamiro Carrilho
My Love For You;Johnny Mathis
Chega;Carlos Augusto
Hey Mama;Celly Campello
Fica Comigo Esta Noite;Nelson Gonçalves
Per Omnia Secula;Carminha Nascimento
Triste Regresso;Léo Belico
Não Sou de Nada;Fernando Costa
Poema das Mãos;João Dias
Não Deixe a Peteca Cair;Trio Irakitan
