Gina;Wayne Fontana
Coração de Papel;Sergio Reis
Namoradinha de Um Amigo Meu;Roberto Carlos
Love Me, Please Love Me;Michel Polnareff
A Praça;Ronnie Von
O Bom Rapaz;Wanderley Cardoso
Bus Stop;Hollies
Travessia;Milton Nascimento
Quando;Roberto Carlos
Somethin' Stupid;Nancy Sinatra & Frank Sinatra
See You In September;Happenings
Era Um Garoto Que Como Eu Amava os Beatles...;Os Incríveis
Black Is Black;Los Bravos
Nossa Canção;Roberto Carlos
Pára Pedro;José Mendes
Penny Lane;Beatles
There's A Kind Of Hush;Herman's Hermitz
Quem Não Quer;Jerry Adriani
Tijolinho;Bobby Di Carlo
Coisinha Estúpida;George Freedman
A Whiter Shade Of Pale;Procol Harum
Acorda Maria Bonita/Se Eu Soubesse;Ary Cordovil
Georgy Girl;Seekers
Poor Side Of Town;Johnny Rivers
O Caderninho;Erasmo Carlos
Meu Grito;Agnaldo Timóteo
This Is My Song;Petula Clark
Súplica Cearense;Ary Lobo
No Milk Today;Herman's Hermits
Alegria, Alegria;Caetano Veloso
You Only Live Twice;Nancy Sinatra
All You Need Is Love;Beatles
Pare o Casamento;Wanderléa
I'm A Believer;Monkees
Domingo no Parque;Gilberto Gil
Can't Take My Eyes Off You;Frankie Valli
Estou Feliz;Ed Carlos
Music To Watch Girls By;Bob Crewe Generation
Last Train To Clarksville;Monkees
Sunny;Chris Montez
Triste Madrugada;Jair Rodrigues
Doce de Coco;Wanderley Cardoso
Ave Maria dos Olhos Dela;Wilson Miranda
Maria, Carnaval e Cinzas;Roberto Carlos
Roda Viva;Chico Buarque & MPB-4
Winchester Cathedral;New Vaudeville Band
A Garota do Roberto;Waldirene
Não Presto Mas Eu Te Amo;Demétrius
Western Union;Five Americans
Anna (Go To Him);Beatles
Guantanamera;The Sandpipers
O Mundo Encantado de Monteiro Lobato;Elza Soares
Máscara Negra;Zé Kéti
Ruby Tuesday;Rolling Stones
A Catedral;Ronnie Von
A Bomba Está Para Explodir na Praça...;Roberto Rei
Eu Sou Terrível;Roberto Carlos
Barra Limpa;Martinha
Só Vou Gostar de Quem Gosta de Mim;Roberto Carlos
Linda;João Dias
Margarida;Gutemberg Guarabira & Grupo Manifesto
Born Free;Matt Monro
A Little Bit Me, A Little Bit You;The Monkees
C'era Um Ragazzo Che Come Me Amava I Beatles...;Gianni Morandi
Felizes Juntinhos;Os Baobás
Como é Grande o Meu Amor Por Você;Roberto Carlos
Eu Te Amo Mesmo Assim;Martinha
Happy Together;The Turtles
Coisinha Estúpida;Leno & Lilian
Day Tripper;The Beatles
Confia;João Dias
Jardim de Infância;Ronnie Von
Deixa o Meu Cabelo em Paz;Osvaldo Nunes
Feitiço de Broto;Rosemary
Música Para Ver a Garota Passar;Ronnie Von
Não Pense em Mim;Morgana
Alfie;Dionne Warwick
Anjo Azul;Adriana
Prova de Fogo;Wanderléa
A Partida;Os Iguais
For Your Love;The Yardbirds
Noir C'est Noir;Johnny Halliday
É o Amor;Nalva Aguiar
Só Eu e Você;Carlos Gonzaga
Tributo a Martin Luther King;Wilson Simonal
A Groovy Kind Of Love;The Mindbenders
Mellow Yellow;Donovan
Eu Só Quero Ver;Deny & Dino
Ponteio;Edu Lobo & Marilia Medalha
Eu e a Brisa;Márcia
Mamãe Ele Está de Olho em Mim;Suzy Darlen
Foi Assim;Wanderléa
Uma Tarde no Circo;Rosemary
Meu Bem Só Gosta de Mim;Kátia Cilene
Ho Capito Che Ti Amo;Luigi Tenco
Born Free;Andy Williams
Carolina;Cynara & Cybele
Reach Out (I'll Be There);The Four Tops
Meu Boi;Zé Fidelis
Eu Daria a Minha Vida;Roberto Carlos
