Moça;Wando
Além do Horizonte;Roberto Carlos
I'm Not In Love;10cc
Moro Onde Não Mora Ninguém;Agepê
Paralelas;Vanusa
O Mestre Sala dos Mares;Elis Regina
Like A Locomotion;Left Side
Flying (Turn Round);Chris DeBurgh
One Day In Your Life;Michael Jackson
Charlie Brown;Benito Di Paula
Fé Cega, Faca Amolada;Milton Nascimento & Beto Guedes
Philadelphia Freedom;The Elton John Band
Kung Fu Fighting;Carl Douglas
Dois Pra Lá, Dois Pra Cá;Elis Regina
Severina Xique Xique;Genival Lacerda
The Old Fashioned Way;Charles Aznavour
Island Girl;Elton John
O Mar Serenou;Clara Nunes
Love Will Keep Us Together;The Captain & Tennille
Only Yesterday;Carpenters
Get Down Tonight;KC & The Sunshine Band
Olha;Roberto Carlos
You're The First, The Last, My Everything;Barry White
1800 Colinas;Beth Carvalho
Mandy;Barry Manilow
Bilú Tetéia;Mauro Celso
July, July, July;Billy Paul
Crítica;Cyro Aguiar
Please Mr. Postman;Carpenters
Lovin' You;Minnie Riperton
Filho da Bahia;Fafá de Belém
Poxa;Gilson de Souza
Secretária da Beira do Cais;Cesar Sampaio
A Lua e Eu;Cassiano
You Are So Beautiful;Joe Cocker
I Don't Like To Sleep Alone;Paul Anka with Odia Coates
Argumento;Paulinho da Viola
Lady Marmalade;LaBelle
Você Não Passa de Uma Mulher;Martinho da Vila
Kid Cavaquinho;Maria Alcina
O Ouro e a Madeira;Conjunto Nosso Samba
My Eyes Adored You;Frankie Valli
Don't Let Me Cry;Mark Davis
Na Sombra de Uma Árvore;Hyldon
Let Me Be Forever;Steve Feldman
The Hustle;Van McCoy
I'll Be Holding You;Al Downing
Nó na Madeira;João Nogueira
Beijo Partido;Milton Nascimento
Laugher In The Rain;Neil Sedaka
Lucy In The Sky With Diamonds;Elton John
Filho da Véia;Luis Américo
Shame, Shame, Shame;Shirley & Co.
Rain & Memories;Paul Denver
Agora Só Falta Você;Rita Lee
Beleza Que é Você Mulher;Benito Di Paula
Juízo Final;Clara Nunes
Enamorada do Sambão;Beth Carvalho
Boogie On Reggae Woman;Stevie Wonder
Juventude Transviada;Luiz Melodia
It's My First Day Without You;Dennis Yost & The Classics IV
Modinha Para Gabriela;Gal Costa
Sad Sweet Dreamer;Sweet Sensation
The Miracle;Stylistics
Emoriô;Fafá de Belém
Amor Com Amor Se Paga;Carmen Silva
Na Beira do Mar;Wander Pires
Dentro de Mim Mora Um Anjo;Sueli Costa
Linha do Horizonte;Azimuth
Terceiro Ato;Antonio Carlos & Jocafi
Esse Tal de Roque Enrow;Rita Lee
A Deusa dos Orixás;Clara Nunes
A Sombra do Teu Sorriso;Moacyr Franco
As Dores do Mundo;Hyldon
Cuca Legal (Há Há Há);Chico Batera
Beijo Partido;Nana Caymmi
Deixe o Meu Marido em Paz;Claudia Barroso
I'm Down;Hollies
Espelho Meu;Silvio Brito
Pandeiro & Viola;Beth Carvalho
Foi Assim;Fafá de Belém
Ovelha Negra;Rita Lee & Tutti-Frutti
Foi Tudo Culpa do Amor;Diana
Folia de Reis;Baiano & Os Novos Caetanos
From His Woman To You;Barbara Mason
Melô da Cuíca;Azimuth
I'm Prisioner;Paul Jones
Lua, Lua, Lua, Lua;Caetano Veloso
De Frente Pro Crime;Simone
Tango Pra Teresa;Angela Maria
Meu Perdão;Beth Carvalho
O Maior Golpe do Mundo;Deny & Dino
Mulher Brasileira;Benito Di Paula
Quem é de Samba Chora;Gilson de Souza
Não Esquenta a Cabeça, Não;Golden Boys
Antes Que Eu Volte a Ser Nada;Leci Brandão
Não Precisa Me Perdoar;Benito Di Paula
Vai Levando;Chico Buarque & Maria Bethânia
Never Can Say Goodbye;Gloria Gaynor
Onde Está a Honestidade;Beth Carvalho
