Juventude Transviada;Luiz Melodia
Meu Mundo e Nada Mais;Guilherme Arantes
If You Leave Me Now;Chicago
O Que Será (À Flor da Terra);Chico Buarque & Milton Nascimento
Meu Caro Amigo;Chico Buarque
Don't Go Breaking My Heart;Elton John & Kiki Dee
Fly, Robin, Fly;Silver Convention
Nuvem Passageira;Hermes de Aquino
Sobradinho;Sá & Guarabyra
Pavão Mysteriozo;Ednardo
December 1963 (Oh What A Night);Four Seasons
As Rosas Não Falam;Beth Carvalho
Não Deixe o Samba Morrer;Alcione
Nem Ouro Nem Prata;Ruy Maurity
Os Seus Botões;Roberto Carlos
All By Myself;Eric Carmen
Pecado Capital;Paulinho da Viola
Eu Nasci Há Dez Mil Anos Atrás;Raul Seixas
Misty Blue;Dorothy Moore
Gracias a La Vida;Grupo Tarancón 
You'll Never Find Another Love Like Mine;Lou Rawls
Olhos nos Olhos;Maria Bethânia
Os Meninos da Mangueira;Ataulfo Jr.
Vá Mas Volte;Angela Maria
Vai Ficar na Saudade;Benito Di Paula
Bohemian Rhapsody;Queen
Sailing;Rod Stewart
Como Nossos Pais;Elis Regina
Dolannes Melodie;Jean Claude Borelly
You Should Be Dancing;Bee Gees
I Write The Songs;Barry Manilow
O Surdo;Alcione
Tu T'en Vas;Alain Barrière & Nicole Cordier
Kiss And Say Goodbye;The Manhattans
Dream Weaver;Gary Wright
Incompatibilidade de Gênios;João Bosco
(Shake, Shake, Shake) Shake Your Booty;KC & The Sunshine Band
Apesar de Você;Chico Buarque
More, More, More;Andrea True Connection
Silly Love Songs;Wings
Love Hurts;Nazareth
Happy;Michael Jackson
O Rancho da Goiabada;Elis Regina
Levante os Olhos;Silvio Cesar
A Fifth Of Beethoven;Walter Murphy & The Big Apple Band
Show Me The Way;Peter Frampton
Ilegal, Imoral ou Engorda;Roberto Carlos
I Need To Be In Love;Carpenters
Cuide-se Bem;Guilherme Arantes
Cry To Me;Loleatta Holloway
Do You Know Where You're Going To;Diana Ross
I'm Easy;Keith Carradine
Olhos nos Olhos;Agnaldo Timóteo
Love Me Like A Stranger;Lettermen
Love To Love You Baby;Donna Summer
Pra Não Morrer de Tristeza;Ney Matogrosso
Caso Você Case;Marília Barbosa
Lady Bump;Penny McLean
Mineira;João Nogueira
Coisas da Vida;Rita Lee
Paralelas;Vanusa
My Life;Michael Sullivan
She's My Girl;Morris Albert
Só Louco;Gal Costa
This Time I'll Be Sweeter;Linda Lewis
Winners And Losers;Hamilton, Joe Frank & Reynolds
Afternoon Delight;Starland Vocal Band
Boogie Fever;Sylvers
Capim Novo;Luiz Gonzaga
Apenas Um Rapaz Latino Americano;Belchior
Zing Went The Strings Of My Heart;Trammps
Cinco Companheiros;Paulinho da Viola
Cavaquinho Camarada;Beth Carvalho
Marido Ideal;Evinha
Theme From SWAT;Rhythm Heritage
Fascinação;Elis Regina
When You're Gone;Maggie MacNeal
Menina dos Cabelos Longos;Agepê
Ain't Nobody Straight In Los Angeles;Miracles
Give Me A Second Chance;Junior
Inseparable;Natalie Cole
Dolannes Melodie;Alain Patrick
True Love;Steve McLean
Sweet Love;Commodores
I'll Be Good To You;The Brothers Johnson
Tenderness;Twins
Poxa;Gilson de Souza
Beijinho Doce;Nalva Aguiar
Deixa;Bandits Of Love
Chão, Pó, Poeira;Gonzaguinha
Olhos Nos Olhos;Chico Buarque
Let Your Love Flow;Bellamy Brothers
Xamêgo;Fafá de Belém
Tudo Está no Seu Lugar;Benito Di Paula
Retrato;Suely Costa
Menina do Mato;Ruy Maurity
Like Roses;Jack Jones
Jeca Total;Gilberto Gil
Espere Por Mim, Morena;Gonzaguinha
Os Homens Não Devem Chorar;Barros de Alencar
