Bette Davis Eyes;Kim Carnes
Baila Comigo;Rita Lee
Nos Bailes da Vida;MIlton Nascimento
Emoções;Roberto Carlos
Endless Love;Diana Ross & Lionel Richie
(Just Like) Starting Over;John Lennon
Clarear;Roupa Nova
Palco;Gilberto Gil
Lança Perfume;Rita Lee
Arthur's Theme (Best That You Can Do);Christopher Cross
Deixa Chover;Guilherme Arantes
Nova Manhã;14-Bis
Lua e Estrela;Caetano Veloso
Kiss On My List;Daryl Hall & John Oates
Se Eu Quiser Falar Com Deus;Gilberto Gil
Woman;John Lennon
Paixão;Kleiton & Kledir
The One That You Love;Air Supply
Caçador de Mim;Milton Nascimento
Time;Alan Parsons Project
Keep On Loving You;REO Speedwagon
Guilty;Barbra Streisand & Barry Gibb
Eternas Ondas;Fagner
Living Inside Myself;Gino Vannelli
Bem-Te-Vi;Renato Terra
Cama e Mesa;Roberto Carlos
Eu Também Quero Beijar;Pepeu Gomes
Neném;Boca Livre
Conga, Conga, Conga;Gretchen
Abre Coração;Marcelo
Celebration;Kool & The Gang
Shine On;L.T.D.
Decisão;Joanna
Just The Two Of Us;Groover Washington Jr.
For Your Eyes Only;Sheena Easton
Luiza;Tom Jobim
Eu Me Rendo;Fábio Jr.
Outras Palavras;Caetano Veloso
O Sal da Terra;Beto Guedes
Quero Quero;Cláudio Nucci
Canção de Verão;Roupa Nova
Morning Train (Nine To Five);Sheena Easton
All Those Years Ago;George Harrison
Crying;Don McLean
Daquilo Que Eu Sei;Ivan Lins
Hearts;Marty Balin
Reality;Richard Sanderson
Rapture;Blondie
A Chuva Cai;Beth Carvalho
Homem Com H;Ney Matogrosso 
Lady (You Bring Me Up);Commodores
Without Your Love;Roger Daltrey
Being With You;Smokey Robinson
Take Me Now;David Gates
Seduzir;Djavan
Para Ser o Sol;A Cor do Som
Me Deixas Louca;Elis Regina
Tell It Like It Is;Heart
Dia Branco;Geraldo Azevedo
Tesouros da Juventude;Lulu Santos
The Best Of Times;Styx
Purpurina;Lucinha Lins
Theme From "Greatest American Hero";Joey Scarbury
You Weren't In Love;Mick Fleetwood
9 To 5;Dolly Parton
What's In A Kiss?;Gilbert O'Sullivan
Portela na Avenida;Clara Nunes
Bem Simples;Roupa Nova
Corações a Mil;Marina
A Woman Needs Love;Ray Parker Jr & Raydio
Agora Só Falta Você;Zizi Possi
Coração Cigano;Wando
Zanzibar;A Cor do Som
Vira Virou;Kleiton & Kledir
Good Thing Going;Sugar Minott
Onde a Dor Não Tem Razão;Paulinho da Viola
Pega na Mentira;Erasmo Carlos
I Don't Need You;Kenny Rogers
Love On The Rocks;Neil Diamond
A Terceira Lâmina;Zé Ramalho
Estrela Guia;Joanna
Gata Todo Dia;Marina
Old Photographs;Jim Capaldi
Shaddap You Face;Joe Dolce
Hurt;Carly Simon
Sentinela;Milton Nascimento
Perdidos na Selva;Gang 90 & As Absurdettes
If Leaving Me Is Easy;Phil Collins
Physical;Olivia Newton-John
Planeta Água;Guilherme Arantes
Stars on 45 (medley);Stars On 45
Vida;Beth Goulart
Viajante;Ney Matogrosso
Vevecos, Panelas e Canelas;Beto Guedes
Comin' In And Out Of Your Life;Barbra Streisand
Do You Miss Me;Morris Albert
Eu Velejava em Você;Zizi Possi
Eu Voltei;Cláudia Telles
Mordomia;Almir Guineto
Meu Bem Meu Mal;Gal Costa
