Greatest Love Of All;Whitney Houston
Take My Breath Away;Berlin
Demais;Verônica Sabino
Eduardo e Mônica;Legião Urbana
Quando Gira o Mundo;Fábio Jr.
The Captain Of Her Heart;Double
Alagados;Os Paralamas do Sucesso
Sina;Djavan
Nikita;Elton John
That's What Friends Are For;Dionne Warwick & Friends
On My Own;Patti LaBelle & Michael McDonald
Aauu;Titãs
Só Pro Meu Prazer;Heróis da Resistência
Words Get In The Way;Gloria Estefan/Miami Sound Machine
Say You, Say Me;Lionel Richie
Índios;Legião Urbana
Perigo;Zizi Possi
True Colors;Cyndi Lauper
Bad Boy;Miami Sound Machine
Rock Me Amadeus;Falco
Sweet Love;Anita Baker
Só Pra Contrariar;Fundo de Quintal
Transas;Ritchie
Joga Fora;Sandra Sá
Nem Um Toque;Rosana
Glory Of Love;Peter Cetera
Holding Back The Years;Simply Red
Decadence Avec Elegance;Lobão & Os Ronaldos
When I Think Of You;Janet Jackson
Tempo Perdido;Legião Urbana
Broken Wings;Mr. Mister
Música Urbana;Capital Inicial
Só o Fim;Camisa de Venus
Taken In;Mike + The Mechanics
I Miss You;Klymaxx
Julieta;Sandro Becker
Kiss;Prince & The Revolution
More Than I Can Bare;Matt Bianco
Toda Forma de Poder;Engenheiros do Hawaii
Garotos;Kid Abelha
Duel;Propaganda
Why Worry;Dire Straits
The Sweetest Taboo;Sade
West End Girls;Pet Shop Boys
Sweet Freedom;Michael McDonald
Something About You;Level 42
Alive & Kicking;Simple Minds
If Looks Could Kill;Heart
There'll Be Sad Songs (To Make You Cry);Billy Ocean
Tudo Bem;Lulu Santos
Livre Pra Viver;Claudio Zoli
Live To Tell;Madonna
Venus;Bananarama
Sledgehammer;Peter Gabriel
Forever Young;Alphaville
Você;Os Paralamas do Sucesso
Secret Lovers;Atlantic Starr
Burning Heart;Survivor
Conga;Miami Sound Machine
Sara;Starship
So Far Away;Dire Straits
These Dreams;Heart
Deus Nos Acuda;Fundo de Quintal
Casanova;Lulu Santos
Yes;Tim Moore
Garota de Berlim;Tokyo
Dancing On The Ceiling;Lionel Richie
With You All The Way;New Edition
In Between Days;The Cure
Papa Don't Preach;Madonna
I'll Be Over You;Toto
If You Leave;Orchestral Manoeuvres In The Dark
The Finest;SOS Band
Sahara Night;F.R. David
New York, Rio, Tokyo;Trio Rio
Sintonia;Moraes Moreira
Judia de Mim;Zeca Pagodinho
I'm Your Man;Wham!
Higher Love;Stevie Winwood
Caminhoneiro do Amor;Sula Miranda
Do Leme ao Pontal;Tim Maia
Stuck With You;Huey Lewis & The News
Gosto do Prazer;A Cor do Som/Gilberto Gil
I'll Never Be (Maria Magdalena);Sandra
Em Flor (Too Young);Simone
Only Love;Nana Mouskouri
Don't Forget Me (When I'm Gone);Glass Tiger
Polícia;Titãs
Living In America;James Brown
Melô do Marinheiro;Os Paralamas do Sucesso
Codinome Beija-Flor;Cazuza
It's Only Love;Bryan Adams & Tina Turner
Maniac Monday;Bangles
Gato Encantado;Claudia Olivetti
I Love You Baby;Adriana
Sede dos Marujos;Ivan Lins
Invisible Touch;Genesis
Anos Dourados;Maria Bethânia
Só Eu Sei;Gilliard
Veraneio Vascaína;Capital Inicial
