Livin' On A Prayer;Bon Jovi
Que País é Este;Legião Urbana
The Lady In Red;Chris DeBurgh
Um Certo Alguém;Lulu Santos
With Or Without You;U2
O Amor e o Poder;Rosana
Codinome Beija-Flor;Cazuza
Always;Atlantic Starr
Didn't We Almost Have It All;Whitney Houston
I Still Haven't Found What I'm Looking For;U2
Kátia Flávia;Fausto Fawcett & Os Robôs Efêmeros
Esquece e Vem;Nico Rezende
Flores em Você;Ira!
Bad;Michael Jackson
Don't Dream It's Over;Crowded House
Faraó, Divindade do Egito;Olodum
Descendo o Rio Nilo;Capital Inicial
Carrie;Europe
Amanhã é 23;Kid Abelha
Shake You Down;Gregory Abbott 
Human;Human League
Don't Get Me Wrong;Pretenders
Ausência;Chrystian & Ralf
Faroeste Caboclo;Legião Urbana
Homem Primata;Titãs
Somewhere Out There;Linda Ronstadt & James Ingram
La Bamba;Los Lobos
Retratos e Canções;Sandra Sá
Who's That Girl;Madonna
Songbird;Kenny G
I'll Be Over You;Toto
Stay The Night;Benjamin Orr
Infinita Highway;Engenheiros do Hawaii
The Miracle Of Love;Eurythmics
Luka;Suzanne Vega
Nothing's Gonna Stop Us Now;Starship
The Way It Is;Bruce Hornsby & The Range
I Wanna Dance With Somebody (Who Loves Me);Whitney Houston
Eu Não Quero Mais;Fundo de Quintal
Vida Dividida;Chrystian & Ralf
Looking For A New Love;Jody Watley
Emotion In Motion;Ric Ocasek 
C'est La Vie;Robbie Nevil
Sábado;José Augusto
Me Perdoa, Poeta;Leci Brandão
Coming Around Again;Carly Simon
Eu Já Tirei a Tua Roupa;Wando
Madagascar Olodum;Olodum
You Got It All;The Jets
Walk Like An Egyptian;Bangles
Don't Forget Me (While I'm Gone);Glass Tiger
Let's Wait Awhile;Janet Jackson
Everything I Own;Boy George
O Nosso
 Amor a Gente Inventa;Cazuza
Head To Toe;Lisa Lisa & Cult Jam
I Want Your Sex;George Michael
Lambadas III;Fafá de Belém
In Too Deep;Genesis
Is This Love?;Whitesnake
Tiro ao Álvaro;Adoniran Barbosa & Elis Regina
Right Between The Eyes;Wax
Two People;Tina Turner
(I Just) Died In Your Arms;Cutting Crew
Caleidoscópio;Dulce Quental
Família;Titãs
Iluminados;Ivan Lins
Passos no Porão;Rádio Taxi
Lean On Me;Club Nouveau
La Isla Bonita;Madonna
Glory Of Love;Peter Cetera
Meet Me Half Way;Kenny Loggins
Open Your Heart;Madonna
Change Of Heart;Cyndi Lauper
I Just Can't Stop Loving You;Michael Jackson
Is This Love;Survivor
Hospício;Amado Batista
Um Dia, Um Adeus;Guilherme Arantes
Nothing's Gonna Change My Love For You;Glen Medeiros
Terra de Gigantes;Engenheiros do Hawaii
Alone;Heart
Aauu;Titãs
Vá Com Deus;Roberta Miranda
Preciso Aprender a Só Ser;Caetano Veloso
Just To See Her;Smokey Robinson
What's Going On;Cyndi Lauper
Hey Jude;Kiko Zambianchi
Only In My Dreams;Debbie Gibson
Rhythm Is Gonna Get You;Gloria Estefan & Miami Sound Machine
Notorious;Duran Duran
A Voz do Rádio;Sula Miranda
Pinga Ni Mim;Sergio Reis
Holiday Rap;M.C. Miker G & D.J. Sven
Até o Fim;Verônica Sabino
Rolam as Pedras;Kiko Zambianchi
Diamonds;Herb Alpert
Eu Gosto de Mulher;Ultraje a Rigor
A Revolta dos Dândis;Engenheiros do Hawaii
Quero Ficar Com Você;Maria Bethânia
Gone With The Winner;Century
You're The Voice;John Farnham
