The One;Elton John
End Of The Road;Boyz II Men
O Canto da Cidade;Daniela Mercury
Save The Best For Last;Vanessa Williams
Don't Let The Sun Go Down On Me;George Michael & Elton John
Cigana;Raça Negra
Just Another Day;Jon Secada
Cabecinha no Ombro;Fagner & Roberta Miranda
I'm Too Sexy;R*S*F
Olha Amor;Gian & Giovani
Caruso;Lucio Dalla
Brincar de Ser Feliz;Chitãozinho & Xororó
Temporal do Amor;Leandro & Leonardo
Tears In Heaven;Eric Clapton
If You Asked Me To;Celine Dion
Black Or White;Michael Jackson
Barracos (Escombros);Banda Beijo
All Together Now;The Farm
I Will Always Love You;Whitney Houston
Finally;Ce Ce Peniston
Com o Pé na Estrada (The Boxer);Sula Miranda
November Rain;Guns N' Roses
Wishing On A Star;Cover Girls
To Be With You;Mr. Big
I'll Be There;Mariah Carey
Coração Está em Pedaços;Zezé Di Camargo & Luciano
Borbulhas de Amor;Fagner
Ainda Lembro;Marisa Monte & Ed Motta
Smells Like Teen Spirit;Nirvana
Grávida;Marina
Sábado;Os Paralamas do Sucesso
For Your Babies;Simply Red
Daniel;Wilson Phillips
Senza Una Donna;Zucchero & Paul Young
Pergunte Pro Seu Coração;Roberto Carlos
Vento Ventania;Biquini Cavadão
Rio 40 Graus;Fernanda Abreu
Jump Around;House Of Pain
Vê Se Me Erra;Zeca Pagodinho
Apenas Mais Uma de Amor;Lulu Santos
Não Olhe Assim;Leandro & Leonardo
Under The Bridge;Red Hot Chili Peppers
Eu Não Sei Dançar;Marina
La Barca;Luis Miguel
Jump;Kris Kross
Cheia de Manias;Raça Negra
Hold On My Heart;Genesis
Remember The Time;Michael Jackson
Innocence;Deborah Blando
Breakaway;Donna Summer
Don't Talk, Just Kiss;R*S*F
Not Enough Time;INXS
Sometimes Love Just Ain't Enough;Patty Smyth with Don Henley
Faz de Mim;Dominguinhos
Será?;Simone
Do It To Me;Lionel Richie
My Lovin' (You're Never Gonna Get It);Em Vogue
Tá Faltando Amor;João Paulo & Daniel
Please Don't Go;Double You
Gosto de Hortelã;João Paulo & Daniel
Set Adrift On Memory Bliss;PM Dawn
Ser Mais Feliz;Roupa Nova
Eu Te Amo;Zezé Di Camargo & Luciano
A Serpente e a Estrela;Zé Ramalho 
Slipping Away;Information Society
Bohemian Rhapsody;Queen
Spending My Time;Roxette
Vendaval;Joanna
O Mundo Anda Tão Complicado;Legião Urbana
Am I The Same Girl;Swing Out Sister
When A Man Loves A Woman;Michael Bolton
Missing You Now;Michael Bolton
Alguém no Céu;Trem da Alegria
Bate Coração;José Augusto
Vida Dividida;Chrystian & Ralf
Coisas da Paixão;Emílio Santiago
Mr. Loverman;Shabba Ranks
Theme From Dying Young;Kenny G
Deságua;Selma Reis
Would I Lie To You;Charles & Eddie
Dona de Mim;14-Bis
Rhythm Is A Dancer;Snap!
Friday I'm In Love;The Cure
Give It Away;Red Hot Chili Peppers
Não Aprendi a Dizer Adeus;Leandro & Leonardo
Senhas;Adriana Calcanhotto
Set The Night To Music;Roberta Flack & Maxi Priest
The Unforgiven;Metallica
Você Virou Mania;João Paulo & Daniel
Change;Lisa Stansfield
Caminando Por La Calle;Gypsy Kings
You Won't See Me Crying;Wilson Phillips
Milonga;Julio Iglesias
Eu Quero Te Amar;Gian & Giovani
A Rollerskating Jam Named Saturday;DeLa Soul
Get Ready For This;2 Unlimited
Sou Eu;Chrystian & Ralf
Não Dá Pra Te Esquecer;Gian & Giovani
Rio e Canoa;Fábio Jr
Esse Mundo;Vange Leonel
